	Gene > Systematic Name	Gene > Phenotypes > Mutant Type	Gene > Phenotypes > Strain Background	Gene > Phenotypes > Experiment Type	Gene > Phenotypes > Observable	Gene > Phenotypes > Qualifier	Gene > Phenotypes > Chemical	Gene > Phenotypes > Condition	Gene > Phenotypes > Details
120582	YOL004W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
120908	YOL012C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121212	YOL023W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121400	YOL033W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121672	YOL045W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121693	YOL046C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121798	YOL050C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
121876	YOL051W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
122218	YOL067C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
122381	YOL072W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
122496	YOL076W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
128057	YOR152C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
128154	YOR156C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
128613	YOR184W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
128754	YOR191W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
129784	YOR241W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
129848	YOR243C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
130617	YOR290C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
130758	YOR293W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
130807	YOR295W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
131307	YOR312C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
131707	YOR330C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
131785	YOR331C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
131900	YOR332W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
133737	YPL029W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
133833	YPL031C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
133996	YPL037C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
134447	YPL050C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
134597	YPL055C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
135849	YPL097W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
136148	YPL104W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
136813	YPL129W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
137641	YPL161C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138123	YPL178W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138222	YPL180W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138290	YPL181W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138322	YPL182C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138538	YPL193W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138890	YPL205C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
138997	YPL212C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
139290	YPL226W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
139498	YPL234C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
139649	YPL239W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
139892	YPL254W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
140045	YPL260W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
140066	YPL261C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
140248	YPL268W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
141088	YPR036W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
141308	YPR044C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
142067	YPR072W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
143411	YPR135W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
143891	YPR159W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
144080	YPR164W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
145901	YER014C-A		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	25 ug/ml doxorubicin	 	no growth in the presence of 25 ug/ml doxorubicin
117	YAL002W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
602	YAL016W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
818	YAL021C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
2766	YBL024W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
4594	YBL093C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
6932	YBR097W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
7944	YBR127C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
8208	YBR132C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
9788	YBR200W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
12494	YCL008C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
13878	YCR009C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
16258	YCR094W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
17092	YEL027W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
17452	YEL036C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
17710	YEL044W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
18084	YEL051W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
19086	YER026C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
19947	YER068W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
24969	YHR026W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
25199	YHR030C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
25864	YHR060W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
33625	YKL002W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
34532	YKL041W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
35465	YKL080W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
35529	YKL081W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
36271	YKL118W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
36404	YKL119C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
38714	YKR001C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
39959	YKR055W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
43165	YHR039C-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
48237	YDL185W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
48509	YDL192W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
49792	YDR017C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
50059	YDR027C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
50852	YDR069C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
52726	YDR136C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
55194	YDR231C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
56275	YDR276C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
58608	YDR364C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
61034	YDR455C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
61106	YDR456W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
61861	YDR484W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
62197	YDR495C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
63637	YGL012W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
64487	YGL038C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
67588	YGL167C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
68361	YGL206C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
68604	YGL212W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
68967	YGL223C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
70054	YGR020C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
70325	YGR036C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
72166	YGR105W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
73027	YGR152C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
73643	YGR167W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
77255	YJL029C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
81374	YJL184W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
84294	YJR102C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
87537	YLR025W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
90027	YLR119W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
90576	YLR148W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
92672	YLR240W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
95223	YLR337C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
97758	YLR417W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
98585	YLR447C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
101645	YML097C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
103361	YMR032W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
104609	YMR077C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
107561	YMR202W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
107902	YMR216C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
115268	YNL214W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
115331	YNL215W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
115464	YNL223W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
116195	YNL241C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
117112	YNL280C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
118874	YNR006W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
120104	YNR052C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
120632	YOL004W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
125007	YOR035C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
125161	YOR036W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
125360	YOR041C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
126704	YOR089C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
127036	YOR106W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
131145	YOR306C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
131824	YOR331C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
133121	YPL002C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
134301	YPL045W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
135034	YPL065W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
135502	YPL084W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
136864	YPL129W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
139561	YPL234C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
142469	YPR099C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
144362	YPR173C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
145943	YER014C-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
146117	YCL005W-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
146369	YGL007C-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
146585	YGR035W-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium fluoride	 	increased sensitivity to the lowest observed adverse effect level (LOAEL) of NaF relative to wt
2363	YBL007C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
5927	YBR044C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
7943	YBR127C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
13877	YCR009C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
15851	YCR081W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
17091	YEL027W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
17963	YEL050C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
18083	YEL051W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
18757	YER014W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
21310	YER122C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
23455	YHL025W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
24232	YHR008C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
24405	YHR011W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
24578	YHR013C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
24834	YHR025W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
24968	YHR026W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
29733	YIL036W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
31300	YIL098C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
33624	YKL002W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
35464	YKL080W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
36403	YKL119C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
42639	YFR034C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
43164	YHR039C-A		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
43783	YDL006W		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
46536	YDL106C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
47329	YDL142C		S288c	systematic mutation set	resistance to chemicals	decreased	25 mM sodium arsenate	 	
