	Gene > Systematic Name	Gene > Phenotypes > Mutant Type	Gene > Phenotypes > Strain Background	Gene > Phenotypes > Experiment Type	Gene > Phenotypes > Observable	Gene > Phenotypes > Qualifier	Gene > Phenotypes > Chemical	Gene > Phenotypes > Condition	Gene > Phenotypes > Details
60746	YDR445C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
60874	YDR448W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
61417	YDR469W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
61649	YDR477W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
61880	YDR484W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
62217	YDR495C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
62512	YDR507C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
63655	YGL012W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
63944	YGL020C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
64008	YGL023C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
64051	YGL024W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
64140	YGL025C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
64200	YGL026C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
64610	YGL043W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
64679	YGL045W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
64860	YGL054C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
65021	YGL058W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
65323	YGL070C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
65695	YGL081W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
67602	YGL167C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
67730	YGL168W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
68494	YGL211W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
68626	YGL212W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
68871	YGL219C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
69223	YGL237C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
69389	YGL244W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
69581	YGL252C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
70340	YGR036C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
70637	YGR055W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
70709	YGR056W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
70803	YGR058W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
71054	YGR064W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
71238	YGR076C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
71353	YGR078C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
71738	YGR092W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
72323	YGR112W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
