,Molecule List Name,Molecule,Formula,Adduct,Precursor Charge,PrecursorMz,Product Charge,CCS
3243,Other,Choline,C5H14NO,[M+H]+,1.0,105.1148,1.0,117.7
3251,Other,Cis-Aconitic Acid,C6H6O6,[M+H]+,1.0,175.0237,1.0,152.2
3252,Other,Cis-Aconitic Acid,C6H6O6,[M+Na]+,1.0,197.0057,1.0,146.8
3141,Other,Citicoline,C14H26N4O11P2,[M+H]+,1.0,489.1146,1.0,198.7
3142,Other,Citicoline,C14H26N4O11P2,[M+Na]+,1.0,511.0966,1.0,208.6
3121,Other,Citric Acid,C6H8O7,[M+Na]+,1.0,215.0163,1.0,142.7
3303,Other,Coenzyme A,C21H36N7O16P3S,[M+H]+,1.0,768.1225,1.0,241.4
1116,Other,Creatinine,C4H7N3O,[M+H]+,1.0,114.0662,1.0,123.4
1117,Other,Creatinine,C4H7N3O,[M+Na]+,1.0,136.0482,1.0,133.0
4563,Other,Cyclic adenosine monophosphate,C10H12N5O6P,[M+H]+,1.0,330.0598,1.0,179.8
4564,Other,Cyclic adenosine monophosphate,C10H12N5O6P,[M+Na]+,1.0,352.0418,1.0,191.1
4573,Other,Cyclic GMP,C10H12N5O7P,[M+H]+,1.0,346.0547,1.0,172.6
4574,Other,Cyclic GMP,C10H12N5O7P,[M+Na]+,1.0,368.0367,1.0,184.1
1198,Other,Cysteinesulfonic Acid,C3H7NO5S,[M+H]+,1.0,170.0118,1.0,140.3
1199,Other,Cysteinesulfonic Acid,C3H7NO5S,[M+Na]+,1.0,191.9938,1.0,148.4
2107,Other,Cystine,C6H12N2O4S2,[M+H]+,1.0,241.0311,1.0,149.5
3163,Other,Cytidine,C9H13N3O5,[M+H]+,1.0,244.0928,1.0,154.2
3164,Other,Cytidine,C9H13N3O5,[M+Na]+,1.0,266.0748,1.0,159.7
1244,Other,"Cytidine 2',3'-Cyclic Phosphate",C9H12N3O7P,[M+H]+,1.0,306.0486,1.0,163.1
1245,Other,"Cytidine 2',3'-Cyclic Phosphate",C9H12N3O7P,[M+Na]+,1.0,328.0306,1.0,167.5
1246,Other,"Cytidine 2',3'-Cyclic Phosphate",C9H12N3O7P,[M+K]+,1.0,344.0045,1.0,167.8
3152,Other,Cytidine-5'-Diphosphate,C9H15N3O11P2,[M+H]+,1.0,404.0255,1.0,175.5
3153,Other,Cytidine-5'-Diphosphate,C9H15N3O11P2,[M+Na]+,1.0,426.0075,1.0,179.9
3173,Other,Cytidine-5'-Monophosphate,C9H14N3O8P,[M+H]+,1.0,324.0592,1.0,167.3
3174,Other,Cytidine-5'-Monophosphate,C9H14N3O8P,[M+Na]+,1.0,346.0412,1.0,169.2
3196,Other,Cytidine-5'-Triphosphate,C9H16N3O14P3,[M+H]+,1.0,483.9918,1.0,188.6
3197,Other,Cytidine-5'-Triphosphate,C9H16N3O14P3,[M+Na]+,1.0,505.9738,1.0,196.5
3270,Other,Cytosine,C4H5N3O,[M+H]+,1.0,112.0506,1.0,119.3
4884,Other,D-(+)-Melibiose,C12H22O11,[M+H]+,1.0,343.1235,1.0,180.2
4885,Other,D-(+)-Melibiose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,178.0
4886,Other,D-(+)-Melibiose,C12H22O11,[M+K]+,1.0,381.0794,1.0,179.6
1180,Other,D-(+)-Turanose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,177.0
2934,Other,d-Desthiobiotin,C10H18N2O3,[M+H]+,1.0,215.139,1.0,144.9
2935,Other,d-Desthiobiotin,C10H18N2O3,[M+Na]+,1.0,237.121,1.0,156.8
2936,Other,d-Desthiobiotin,C10H18N2O3,[M+K]+,1.0,253.0949,1.0,156.4
5195,Other,D-Fructose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,141.9
3278,Other,D-Galactose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,142.4
3286,Other,D-Glucose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,147.7
3216,Other,D-Glucose 6-phosphate,C6H13O9P,[M+Na]+,1.0,283.019,1.0,159.7
5247,Other,D-Glucuronolactone,C6H8O6,[M+Na]+,1.0,199.0214,1.0,146.2
3234,Other,D-Mannose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,141.5
1513,Other,D-Pantothenic Acid,C9H17NO5,[M+H]+,1.0,220.118,1.0,150.2
1514,Other,D-Pantothenic Acid,C9H17NO5,[M+Na]+,1.0,242.1,1.0,152.3
3226,Other,D-Ribose,C5H10O5,[M+Na]+,1.0,173.0421,1.0,135.8
728,Other,D-Ribose 5-Phosphate,C5H11O8P,[M+Na]+,1.0,253.0085,1.0,150.3
2946,Other,D-Ribulose 5-Phosphate,C5H11O8P,[M+Na]+,1.0,253.0085,1.0,153.3
2918,Other,D-Xylose,C5H10O5,[M+Na]+,1.0,173.0421,1.0,134.2
2845,Other,dATP,C10H16N5O12P3,[M+H]+,1.0,492.0081,1.0,195.1
2846,Other,dATP,C10H16N5O12P3,[M+Na]+,1.0,513.9901,1.0,202.1
4544,Other,Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.1091,1.0,157.6
4545,Other,Deoxyadenosine,C10H13N5O3,[M+Na]+,1.0,274.0911,1.0,163.6
4534,Other,Deoxyguanosine,C10H13N5O4,[M+Na]+,1.0,290.0861,1.0,172.0
4535,Other,Deoxyguanosine,C10H13N5O4,[M+K]+,1.0,306.06,1.0,171.7
4664,Other,Deoxyribose,C5H10O4,[M+Na]+,1.0,157.0472,1.0,135.1
1784,Other,Deoxythymidine,C10H14N2O5,[M+Na]+,1.0,265.0796,1.0,162.9
2971,Other,Deoxyuridine-5'-Triphosphate,C9H15N2O14P3,[M+Na]+,1.0,490.9629,1.0,184.9
63,Other,Dexfosfoserine,C3H8NO6P,[M+Na]+,1.0,207.9982,1.0,140.9
2765,Other,Dihydrofolic Acid,C19H21N7O6,[M+H]+,1.0,444.1626,1.0,194.1
2926,Other,Dihydroxyacetone phosphate,C3H7O6P,[M+Na]+,1.0,192.9873,1.0,145.5
3535,Other,Dodecyl-Coa,C33H58N7O17P3S,[M+H]+,1.0,950.2896,1.0,285.2
3261,Other,Erythose-4-Phosphate,C4H9O7P,[M+Na]+,1.0,222.9979,1.0,153.9
2888,Other,Flavin adenine dinucleotide,C27H33N9O15P2,[M+H]+,1.0,786.1644,1.0,249.0
2889,Other,Flavin adenine dinucleotide,C27H33N9O15P2,[M+Na]+,1.0,808.1464,1.0,250.7
3863,Other,Flavin mononucleotide,C17H21N4O9P,[M+H]+,1.0,457.1119,1.0,200.6
3864,Other,Flavin mononucleotide,C17H21N4O9P,[M+Na]+,1.0,479.0939,1.0,210.7
3831,Other,Folic Acid,C19H19N7O6,[M+H]+,1.0,442.147,1.0,195.5
3832,Other,Folic Acid,C19H19N7O6,[M+Na]+,1.0,464.129,1.0,204.6
3313,Other,Fructose 6-Phosphate,C6H13O9P,[M+Na]+,1.0,283.019,1.0,154.2
3975,Other,Fumaric Acid,C4H4O4,[M+Na]+,1.0,139.0003,1.0,133.6
763,Other,Galactose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,142.2
2192,Other,gamma-Glutamylcysteine,C8H14N2O5S,[M+H]+,1.0,251.0696,1.0,157.9
5175,Other,Glucaric acid,C6H10O8,[M+Na]+,1.0,233.0269,1.0,148.5
5176,Other,Glucaric acid,C6H10O8,[M+K]+,1.0,249.0008,1.0,148.5
701,Other,Gluconic Acid,C6H12O7,[M+H]+,1.0,197.0656,1.0,141.9
702,Other,Gluconic Acid,C6H12O7,[M+Na]+,1.0,219.0476,1.0,147.3
5255,Other,Glucosamine,C6H13NO5,[M+H]+,1.0,180.0867,1.0,135.6
5256,Other,Glucosamine,C6H13NO5,[M+Na]+,1.0,202.0687,1.0,144.9
5590,Other,Glucosamine 6-Phosphate,C6H14NO8P,[M+H]+,1.0,260.053,1.0,155.3
5591,Other,Glucosamine 6-Phosphate,C6H14NO8P,[M+Na]+,1.0,282.035,1.0,161.6
2072,AminoAcids,Glutamic Acid,C5H9NO4,[M+H]+,1.0,148.0605,1.0,131.9
2073,AminoAcids,Glutamic Acid,C5H9NO4,[M+Na]+,1.0,170.0425,1.0,136.4
2074,AminoAcids,Glutamic Acid,C5H9NO4,[M+NH4]+,1.0,165.0871,1.0,134.1
2075,AminoAcids,Glutamic Acid,C5H9NO4,[M-H2O+H]+,1.0,130.0499,1.0,127.4
3842,Other,Glutathione,C10H17N3O6S,[M+H]+,1.0,308.0911,1.0,167.9
3843,Other,Glutathione,C10H17N3O6S,[M+Na]+,1.0,330.0731,1.0,167.5
1226,Other,Glycerol-2-Phosphate,C3H9O6P,[M+Na]+,1.0,195.003,1.0,140.6
2337,AminoAcids,Glycine,C2H5NO2,[M+H]+,1.0,76.0393,1.0,127.7
2338,AminoAcids,Glycine,C2H5NO2,[M+Na]+,1.0,98.0213,1.0,127.7
2339,AminoAcids,Glycine,C2H5NO2,[M+NH4]+,1.0,93.0659,1.0,128.0
2340,AminoAcids,Glycine,C2H5NO2,[M-H2O+H]+,1.0,58.0287,1.0,130.8
3984,Other,Guanine,C5H5N5O,[M+H]+,1.0,152.0567,1.0,131.0
3985,Other,Guanine,C5H5N5O,[M+Na]+,1.0,174.0387,1.0,137.5
3986,Other,Guanine,C5H5N5O,[M+K]+,1.0,190.0126,1.0,136.4
3875,Other,Guanosine,C10H13N5O5,[M+H]+,1.0,284.099,1.0,163.4
3876,Other,Guanosine,C10H13N5O5,[M+Na]+,1.0,306.081,1.0,175.3
3877,Other,Guanosine,C10H13N5O5,[M+K]+,1.0,322.0549,1.0,174.3
3853,Other,Guanosine diphosphate mannose,C16H25N5O16P2,[M+H]+,1.0,606.0845,1.0,227.9
3854,Other,Guanosine diphosphate mannose,C16H25N5O16P2,[M+Na]+,1.0,628.0665,1.0,222.3
3898,Other,Guanosine-5'-Diphosphate,C10H15N5O11P2,[M+H]+,1.0,444.0316,1.0,192.1
3899,Other,Guanosine-5'-Diphosphate,C10H15N5O11P2,[M+Na]+,1.0,466.0136,1.0,188.4
3917,Other,Guanosine-5'-Monophosphate,C10H14N5O8P,[M+H]+,1.0,364.0653,1.0,180.1
3918,Other,Guanosine-5'-Monophosphate,C10H14N5O8P,[M+Na]+,1.0,386.0473,1.0,175.4
2097,AminoAcids,Histidine,C6H9N3O2,[M+H]+,1.0,156.0768,1.0,132.2
2098,AminoAcids,Histidine,C6H9N3O2,[M+Na]+,1.0,178.0588,1.0,135.0
2102,AminoAcids,Histidine,C6H9N3O2,[M+NH4]+,1.0,173.1034,1.0,133.1
2103,AminoAcids,Histidine,C6H9N3O2,[M-H2O+H]+,1.0,138.0662,1.0,131.7
3822,Other,Homocitrate,C7H10O7,[M+Na]+,1.0,229.032,1.0,145.2
434,Other,Hydroquinone,C6H6O2,[M+H]+,1.0,111.0441,1.0,128.8
369,Other,Hydroxyproline,C5H9NO3,[M+H]+,1.0,132.0655,1.0,128.7
370,Other,Hydroxyproline,C5H9NO3,[M+Na]+,1.0,154.0475,1.0,139.5
3964,Other,Hypoxanthine,C5H4N4O,[M+H]+,1.0,137.0458,1.0,128.8
3965,Other,Hypoxanthine,C5H4N4O,[M+Na]+,1.0,159.0278,1.0,138.9
5214,Other,Imidazoleacetic acid,C5H6N2O2,[M+H]+,1.0,127.0502,1.0,124.8
1926,Other,Indole-3-Ethanol,C10H11NO,[M+H]+,1.0,162.0914,1.0,133.9
4013,Other,Indoleacetaldehyde,C10H9NO,[M+H]+,1.0,160.0757,1.0,132.4
3955,Other,Indoleacetic acid,C10H9NO2,[M+H]+,1.0,176.0706,1.0,136.8
3956,Other,Indoleacetic acid,C10H9NO2,[M+Na]+,1.0,198.0526,1.0,143.5
2156,Other,Inosine,C10H12N4O5,[M+H]+,1.0,269.0881,1.0,159.3
2157,Other,Inosine,C10H12N4O5,[M+Na]+,1.0,291.0701,1.0,171.7
3994,Other,Inosine 5'-Diphosphate,C10H14N4O11P2,[M+H]+,1.0,429.0207,1.0,186.4
