ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]	D-Galactose [[M+Na]]	D-Glucose [[M+Na]]	D-Mannose [[M+Na]]	Galactose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Valine [[M+H]]	Maltose [[M+K]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N-Acetylputrescine [[M+Na]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Palatinose [[M+K]]	Pidolic Acid [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	Trehalose [[M+K]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00036-Positive-D10.d.DeMP		448.90742481203006	384.5958646616541	83.4140037593985		4764.786184210526		13333.505639097744		936.0197368421052	81.50375939849624	312.6433270676692	620.8294172932331	677.5	1277.3167293233082	979.9553571428571	979.9553571428571	936.0197368421052	778.7429511278195	979.9553571428571	3274.7955827067667	1228.2871240601503	19406.172462406015	475.01409774436087	14.00845864661654	808.0333646616541	1277.3167293233082	521.4967105263157	41.38862781954887	1889.8684210526314	677.5	14.645206766917292	41.38862781954887	909.9130639097745	292.90413533834584	677.5	1589.3233082706765	677.5	28.653665413533833	677.5	377.59163533834584	Growth with alanine supplementation, no spermine treatment.
Inj00042-Positive-D2.d.DeMP	141.4368556701031	554.9213917525774	382.05412371134025	180.8994845360825	97.78350515463919	2779.4961340206187	141.4368556701031	11257.326030927836	141.4368556701031	537.4600515463918	66.00386597938144	160.99355670103094	147.3737113402062	677.5	1950.0824742268042	560.8582474226804	548.6353092783505	515.4587628865979	499.0451030927835	548.6353092783505	1349.0631443298969	3163.994845360825	20696.577319587628		30.38273195876289	354.1159793814433	1935.0657216494847	1190.8634020618558	66.70231958762886	724.2963917525774	618.4806701030928	52.384020618556704	90.10051546391753	215.1237113402062		677.5	3035.479381443299	674.007731958763	30.38273195876289	677.5	577.2719072164949	Growth with spermine treatment, no supplementation.
Inj00043-Positive-E4.d.DeMP		1363.766460108443	669.3241673121611	848.8448876839659	94.56235476374903	5053.914601084431		21659.95061967467		1721.330364058869	448.4324167312161	494.23605731990705	1169.4703718048024	624.2592951200619	1161.3439194422929	1164.2989930286599	1164.2989930286599	1721.330364058869	650.8549573973663	1164.2989930286599	4835.239155693261	1148.0460883036405	23036.276142525174	184.69209914794732		1694.7347017815646	1146.568551510457	1418.4353214562354	87.91343919442292	1907.5	624.2592951200619	21.424283501161888		1438.3820681642137	95.30112316034082	624.2592951200619	1212.3189388071262	588.7984120836561		624.2592951200619	750.5886909372579	Growth with alanine supplementation, no spermine treatment.
Inj00044-Positive-H3.d.DeMP	816.598957639738	114.47648938874832	118.29237236837326	345.9733901526616		5399.474416169295	816.598957639738	19642.893618116002	816.598957639738	2339.1362665100905	81.40550356533214	54.69432270795753		185.70630500841395	2222.115855134926	2121.6309366714686	2121.6309366714686	2326.4166565780074	1643.3736032251425	2121.6309366714686	2515.9388445660466	11700.769176523287	29641.778985726563		16.53549291170809	1909.2134508056802	2222.115855134926	1475.474752121645	464.26576252103484	1570.8718266122685	185.70630500841395	691.9467803053232	92.85315250420697	1050.639780390068	4523.093291848767	185.70630500841395	14706.413003474534	185.70630500841395	29.255102843791235	185.70630500841395	282.37534049224587	Growth with low glutamate supplementation and spermine treatment.
Inj00045-Positive-A11.d.DeMP	608.9667630057804	586.4486994219653	239.8663294797688	377.91184971098266	54.82658959537573	5885.04696531792	608.9667630057804	20036.181358381506	600.1553468208093	389.6604046242775	379.86994219653184	716.6618497109827	298.6091040462428	677.5	426.864161849711	168.39595375722544	127.27601156069365	389.6604046242775	107.69508670520231	127.27601156069365	2683.565751445087	2004.1076589595377	38255.25289017341	254.5520231213873	11.748554913294798	389.6604046242775	417.07369942196533	1662.420520231214		2282.1567919075146	677.5	684.353323699422	61.67991329479769	466.0260115606937	362.2471098265896	677.5	1870.9573699421967	677.5	22.51806358381503	677.5	322.10621387283237	Growth with alanine supplementation and spermine treatment.
Inj00046-Positive-G3.d.DeMP		476.44947416552355	447.01989026063103		105.94650205761317	2005.2389117512575		10944.0877914952		868.9471879286695	50.18518518518519	409.53589391861	228.93118427069047	677.5	957.5457247370829	659.5324645633289	619.5701874714221	868.9471879286695	578.3687700045725	619.5701874714221	1121.7318244170096	4540.210333790581	21741.027663465935	243.4910836762689	26.64151806127115	653.0269775948789	957.5457247370829	2037.4565614997714	129.1803840877915	493.17786922725196	614.9234110653864	195.16460905349794	40.27206218564243	305.7578875171468		677.5	3823.6774119798815	664.7988111568359	26.64151806127115	677.5	932.1433470507545	Growth with spermine treatment, no supplementation.
Inj00047-Positive-E5.d.DeMP	74.05797101449275	963.8115942028985	666.5217391304348	26.44927536231884	856.9565217391304	6635.594202898551	74.05797101449275	21587.898550724636	74.05797101449275	1041.0434782608695	23.27536231884058	883.4057971014493	122.72463768115942	166.1014492753623	2012.2608695652175	1286.4927536231885	1286.4927536231885	1041.0434782608695	1091.8260869565217	1286.4927536231885	2848.0579710144925	1037.8695652173913	30027.333333333332	777.6086956521739	57.130434782608695	888.695652173913	2012.2608695652175	1335.159420289855	129.07246376811594	1755.1739130434783	105.79710144927536	345.95652173913044	55.01449275362319	855.8985507246376	240.15942028985506	166.1014492753623	966.9855072463768	166.1014492753623	73.0	166.1014492753623	512.0579710144928	Growth with alanine supplementation and spermine treatment.
Inj00053-Positive-B1.d.DeMP	622.3485281304194	467.00718935537003	155.3413387750494	765.8917905428068	821.9326532654512	4299.415661160069	622.3485281304194	13385.900806470238	546.6442048033383	2794.1777518904455	414.89901875361295	298.88460118743683	965.4759156778387	82.58653453863386	1930.9518313556773	1952.5816380205576	1952.5816380205576	2973.1152433908187	1590.7739628989236	1952.5816380205576	5258.992538656577	8915.413038051569	21153.95091825293	136.66105120083458		3025.223413992576	1930.9518313556773	2465.7979597963536	867.1586126556555	2647.6849703873927	82.58653453863386	2190.509511334241		1358.7451277665712	3788.165685444717	82.58653453863386	11279.944175735074	82.58653453863386		82.58653453863386	311.66585058032064	Growth with high glutamate supplementation, no spermine treatment.
Inj00054-Positive-G11.d.DeMP	51.49354165055303	289.65117178436077	28.428726119576147	39.692938355634624	246.20349601670665	1189.7153685513188	51.49354165055303	5975.39639569959	51.49354165055303	2884.7111145486892			79.92226777012917		1506.186093278676	2367.630133807719	2353.683966277361	2821.4169696032177	1792.618918709877	2353.683966277361	1062.590687601516	5281.306365534844	6980.056848944234	211.33807719081136	152.33506071621937	2438.4337535772297	1506.186093278676	723.055147343182	121.22437930234358	594.8576842756594		155.017016010519		227.96620001546913	1891.8512645989638		6907.107664939284		170.03596565859695			Growth with high glutamate supplementation and spermine treatment.
Inj00055-Positive-B3.d.DeMP	144.96643334393892	486.53118040089083	364.0709513203945	993.5827235125676		3484.489977728285	144.96643334393892	7436.314667515113	144.96643334393892	1237.1792873051224	62.22303531657652		391.2107858733694	610.315303849825	2080.5	943.2747375119312	943.2747375119312	1186.2093541202673	667.2427616926503	943.2747375119312	2413.459433662106	1322.5704740693604	11441.757079223671	23.16815144766147	146.2903277123767	1131.2677378300987	2080.5	796.3224626153357		1314.6271078587338	610.315303849825	25.815940184537066		241.6107222398982	408.4214126630608	610.315303849825	1523.8024180719058	610.315303849825	146.2903277123767	610.315303849825	391.2107858733694	Growth with alanine supplementation, no spermine treatment.
