Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Levocarnitine [[M+H]]	35.0	0.46340326340326343	29.982813708673863	23.82075471698113	0.7335277787539095
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	21.0	0.46340326340326343	920.4368267598079	1018.8910505836576	0.7335277787539095
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	N2-Acetyl-L-ornithine [[M+H]]	0.0	0.0003108003108003108	772.5137710516308	6401.807445442876	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Nicotinamide [[M+H]]	17.0	0.23185703185703188	1830.9022727272727	2067.628717984629	0.4901675505702352
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	O-acetyl-L-serine [[M+H]]	41.0	0.151981351981352	123.1273502788525	15.319640564826702	0.3740166083916084
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Pidolic Acid [[M+H]]	49.0	0.013986013986013986	4610.7518767946285	1745.7809845631243	0.0759585242343863
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Proline [[M+NH4]]	28.0	1.0	25.00989378147908	65.4462182984414	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Quinolinic Acid [[M-H2O+H]]	26.0	0.8665112665112666	33.500033963734424	40.971698113207545	0.9783191718675591
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Sucrose [[M+Na]]	52.0	0.0037296037296037296	696.5002450819013	127.97665369649806	0.03789758628468306
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Thymine [[M+H]]	30.0	0.8665112665112666	156.23809523809524	143.56828486896237	0.9783191718675591
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Trehalose [[M+Na]]	51.0	0.005905205905205905	701.2575042614988	127.97665369649806	0.04325906651488047
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	d-Desthiobiotin [[M+H]]	15.5	0.16453745584305102	1226.5258953168045	1485.0	0.4017775084539618
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	gamma-Glutamylcysteine [[M+H]]	37.0	0.33566433566433573	784.6669445683405	402.9617155232606	0.6174507310870948
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	19.0	0.9372294372294373	3929.6558515801944	4740.545995004362	0.9864037601742521
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	9.0	0.17965367965367965	3842.1832207998063	5515.825207740536	0.40185166945730333
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	16.0	0.8181818181818182	671.6737685266272	703.5187201414967	0.9688995215311006
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	23.0	0.48484848484848486	65.61161824271458	44.91780003944284	0.7542213883677299
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	ATP [[M+H]]	22.0	0.5887445887445888	1440.7378286390772	733.0555105338451	0.8507089241034196
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	18.0	1.0	925.3468333657898	1155.3093046259373	1.0
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Ademetionine [[M+H]]	20.0	0.8181818181818182	1016.168511196561	769.9241243178673	0.9688995215311006
