well	AUC	log_auc	final_value	TV	outlier
G8	17244.120000000003	9.755226494843043	0.6346499999999999	0.5861000000000001	False
G9	17831.34	9.788712862323765	0.7703500000000001	0.7004000000000001	False
G10	20717.549999999996	9.93873644618716	0.40045	0.32244999999999985	True
G11	18187.47	9.808488174482935	0.7643500000000001	0.6990500000000001	False
G12	63882.54	11.064801363607964	2.36175	2.2236	False
H1	58337.37	10.973998161860473	2.1670499999999997	2.04615	False
H2	73875.78000000001	11.210140313041832	2.5124500000000003	2.3634000000000004	False
H3	17393.579999999998	9.763856451658347	0.64045	0.5838	False
H4	59651.07000000001	10.996267365353443	2.2352999999999996	2.1083499999999993	False
H5	16207.020000000002	9.693199760753737	0.5697000000000001	0.5053000000000001	False
H6	9942.27	9.204550643900019	0.13335000000000002	0.16165	False
H7	17200.41	9.752688499784883	0.6784	0.58985	False
H8	17557.020000000004	9.773209148972297	0.7742	0.7031	False
H9	55294.62	10.920430895273169	2.1573	2.0357000000000003	False
H10	59225.009999999995	10.989099197891472	2.1595	2.04025	False
H11	10186.050000000001	9.22877441622889	0.14135	0.18174999999999997	False
H12	33058.11	10.406022200987039	1.4130500000000001	1.32305	False
