Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
PosLow,PosHigh,Oleic acid [[M+Na]],78.0,0.26429152373398135,0.7432157756691988,False
PosLow,PosHigh,P-Hydroxybenzoic Acid [[M-H2O+H]],36.0,0.11503496229473924,0.714822178852094,False
PosLow,PosHigh,Palatinose [[M+K]],76.0,0.25319115969959627,0.7432157756691988,False
PosLow,PosHigh,Phenylethyl alcohol [[M+H]],80.0,0.21216467995625798,0.7432157756691988,False
PosLow,PosHigh,Pidolic Acid [[M+H]],90.0,0.056873036034794405,0.6571995275131798,False
PosLow,PosHigh,Proline [[M+NH4]],36.0,0.08524331320495294,0.714822178852094,False
PosLow,PosHigh,Sucrose [[M+K]],81.0,0.1406381070372961,0.7253194025893683,False
PosLow,PosHigh,Thymine [[M+H]],66.5,0.7172163728348755,0.9170963455921359,False
PosLow,PosHigh,Trehalose [[M+K]],76.0,0.25319115969959627,0.7432157756691988,False
PosLow,PosHigh,Xanthurenic acid [[M+H]],44.0,0.23850365445560784,0.7432157756691988,False
PosLow,PosHigh,d-Desthiobiotin [[M+Na]],65.0,0.7922386245299017,0.9580560110594161,False
PosLow,PosHigh,gamma-Glutamylcysteine [[M+H]],61.0,1.0,1.0,False
PosLow,NegHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],86.0,0.23008418191625113,0.7432157756691988,False
PosLow,NegHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],55.0,0.5181302014501532,0.8785686024589554,False
PosLow,NegHigh,2'-Deoxyuridine [[M+Na]],78.0,0.4789756970842374,0.8727588314055371,False
PosLow,NegHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],41.0,0.11563416276259127,0.714822178852094,False
PosLow,NegHigh,ATP [[M+H]],84.0,0.28145768484462164,0.7571739248224143,False
PosLow,NegHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],92.0,0.11338394510895117,0.714822178852094,False
PosLow,NegHigh,Ademetionine [[M+H]],76.0,0.5586626532029824,0.8938602451247718,False
PosLow,NegHigh,Adenine [[M+H]],85.0,0.2548715759015092,0.7432157756691988,False
PosLow,NegHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],86.0,0.23008418191625113,0.7432157756691988,False
PosLow,NegHigh,Adenosine phosphate [[M+H]],57.0,0.6008776409544788,0.9136324770794363,False
PosLow,NegHigh,Adenosine-3'-5'-Diphosphate [[M+H]],89.5,0.15680420878640858,0.7253194025893683,False
PosLow,NegHigh,Alpha-D-Glucose [[M+Na]],46.0,0.22356713819508267,0.7432157756691988,False
PosLow,NegHigh,Aminoadipate [[M+Na]],69.5,0.853154481481116,0.9831529453674833,False
PosLow,NegHigh,Argininosuccinic acid [[M+H]],47.0,0.2548715759015092,0.7432157756691988,False
PosLow,NegHigh,Biotin [[M+H]],66.0,1.0,1.0,False
PosLow,NegHigh,Choline [[M+H]],82.5,0.31449977866439394,0.7606506274673714,False
PosLow,NegHigh,Cytidine [[M+H]],57.5,0.6150258066197848,0.9136324770794363,False
PosLow,NegHigh,D-(+)-Melibiose [[M+K]],77.0,0.48556680733988,0.8727588314055371,False
PosLow,NegHigh,D-(+)-Turanose [[M+Na]],49.0,0.2893204058669847,0.7571739248224143,False
PosLow,NegHigh,D-Fructose [[M+Na]],45.5,0.2086518294284183,0.7432157756691988,False
PosLow,NegHigh,D-Galactose [[M+Na]],45.5,0.2086518294284183,0.7432157756691988,False
PosLow,NegHigh,D-Glucose [[M+Na]],47.0,0.2482205902491138,0.7432157756691988,False
PosLow,NegHigh,Deoxyadenosine [[M+H]],48.0,0.2667954066504816,0.7432157756691988,False
PosLow,NegHigh,Galactose [[M+Na]],45.5,0.2086518294284183,0.7432157756691988,False
PosLow,NegHigh,Glucosamine [[M+H]],34.0,0.05253897729199802,0.6556864366041352,False
PosLow,NegHigh,Glutamic Acid [[M-H2O+H]],108.0,0.010644786560634337,0.33211734069179133,False
PosLow,NegHigh,Glutathione [[M+H]],47.0,0.2548715759015092,0.7432157756691988,False
PosLow,NegHigh,Histidine [[M+H]],97.5,0.056340878920944144,0.6571995275131798,False
PosLow,NegHigh,Imidazoleacetic acid [[M+H]],81.0,0.37217143978212575,0.7932331139750765,False
PosLow,NegHigh,Inositol [[M+Na]],38.0,0.08097991640565194,0.714822178852094,False
PosLow,NegHigh,Isomaltose [[M+Na]],49.0,0.2893204058669847,0.7571739248224143,False
PosLow,NegHigh,L-Arginine [[M+H]],103.0,0.024677136998399834,0.5499476245357677,False
PosLow,NegHigh,L-Citrulline [[M+H]],74.0,0.6443731499599503,0.9136324770794363,False
PosLow,NegHigh,L-Lysine [[M+H]],65.5,1.0,1.0,False
PosLow,NegHigh,L-Threonine [[M+NH4]],81.5,0.3547187435174005,0.7864451507516957,False
PosLow,NegHigh,Linoleic acid [[M+Na]],38.0,0.09046950306661301,0.714822178852094,False
PosLow,NegHigh,Maltose [[M+K]],77.0,0.48556680733988,0.8727588314055371,False
PosLow,NegHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],70.0,0.8294475889935782,0.9728858938571293,False
