,PLS1,PLS2,PLS3,PLS4,PLS5
Cytidine [[M+H]],0.21037769820900523,0.0033349618360908563,0.0879115793373549,0.02938621126793218,-0.09694851508058043
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]],0.19226540175332663,-0.1844585012646552,-0.03361591456184076,0.05329547065549397,0.0617247421126063
D-(+)-Turanose [[M+Na]],0.18941707450415654,-0.18136489559245245,-0.056115334926880714,0.05579953125546213,0.05629867918846595
D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]],-0.12120647365549503,-0.09728351417243372,0.37122910079205756,0.14312607454899862,-0.05678833645293452
D-Glucose [[M+Na]],-0.11537899559482197,-0.07660110137373086,0.21413692741294904,0.08390599938954461,0.17131662369350079
D-Mannose [[M+Na]],-0.11845662113019292,-0.09935725219972716,0.4167828974914394,0.15481352171304083,-0.09275520400287394
Glucosamine [[M+H]],0.19120592332905698,0.05484350352894332,0.19586823690319685,0.19165602406123225,0.11281943061595871
Glutamic Acid [[M-H2O+H]],-0.08038157461886063,-0.02719253622221486,0.1700186304086424,-0.2028771797741908,-0.2630364751149922
Glutathione [[M+H]],0.21573386957802623,0.13483995772593027,0.20517643371061015,0.057620633376250494,0.13475912450178595
Histidine [[M+H]],0.0301729788323025,-0.28136815672291204,-0.02222194934593638,-0.11089695298379527,-0.015285642335520525
Imidazoleacetic acid [[M+H]],0.0572918845706195,-0.06468017616217302,-0.08372983798602415,-0.3306149655681865,0.3057870267483249
Inositol [[M+Na]],-0.10086027086002672,-0.06023869328158554,0.12734449167913295,0.07169012790728127,0.21538283960342394
L-Arginine [[M+H]],0.06337834724098722,0.46967405538289103,-0.03267315643651135,-0.06780380130867222,0.01238685435520731
L-Citrulline [[M+H]],0.15525537652716634,0.1858292413863157,-0.016581685482555224,0.07628401760899761,-0.09114852687366781
L-Glutamine [[M+H]],0.07203530037410528,-0.1135698849351299,0.011890834499050852,-0.12801296304838283,-0.4638133420233492
L-Threonine [[M+NH4]],0.005933974197225034,0.018623601239980057,0.16729897936155455,-0.24347362158349267,0.36944993002505316
L-Tryptophan [[M-H2O+H]],-0.1393914462811357,-0.04723204621682084,0.24666951332106057,0.09022447027130394,-0.03289732604740895
L-Valine [[M+H]],0.01397818431295781,0.053408712379750777,0.02668553054745456,-0.35609694132001973,0.021339881354154367
Maltose [[M+Na]],0.19076600279780218,-0.18044018332454706,-0.04744947541604801,0.04508245782037019,0.05794692910724401
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.09887302198303694,0.047805142637624275,-0.07064247781202798,0.05358021764234145,-0.03281205013323351
N1-Acetylspermine [[M+Na]],-0.07333652828036058,-0.011082575147989285,0.0319769861252509,-0.031172504484874596,0.011982067140044643
N2-Acetyl-L-ornithine [[M+H]],0.06055917033482293,0.4802701202499961,-0.03863771176798501,-0.029621530893904607,0.026512948762375983
Nicotinamide [[M+H]],0.11603059744893329,0.059691097478627116,0.01386061360627821,-0.14420027870032023,-0.04305912975548254
Palatinose [[M+Na]],0.18950145356460574,-0.18231172337449641,-0.049081556611624846,0.046600167312293356,0.0579972793186329
Pidolic Acid [[M+H]],-0.06653876818819737,-0.0019874162557214597,0.22583870270674158,-0.2990794721263678,-0.33613399603034927
Sucrose [[M+Na]],0.18877546424446665,-0.18304462031415772,-0.0525578339650963,0.05196652680522713,0.05926423010423304
Thymine [[M+H]],0.05872163071191226,-0.06632473045884013,-0.0866021395733238,-0.2949628369992302,0.2802993038525006
Trehalose [[M+Na]],0.18928422240192633,-0.18193119956749018,-0.05019380104910418,0.046239340034134595,0.05787843478259849
Xanthurenic acid [[M+H]],0.14372672288871505,0.15584669712736957,0.1473497100939845,0.03313985667516667,-0.027005848202880375
d-Desthiobiotin [[M+H]],0.020050778189790695,-0.02925742508028639,0.057946470759485565,-0.15709825351954743,-0.011262341263900933
gamma-Glutamylcysteine [[M+H]],-0.011878898849462898,-0.16424256498040873,0.16723883846623483,-0.01516488092597719,0.1682694133711182
