,PLS1,PLS2,PLS3,PLS4,PLS5
Aminoadipate [[M+Na]],0.22383447792523373,-0.11137386625415745,-0.021718641852823198,0.032540743825496696,0.025627046344431713
Argininosuccinic acid [[M+H]],0.11608932824028222,0.0050873972148002605,-0.09365888440590922,0.12586713378452485,0.014396657540001674
Asparagine [[M+NH4]],-0.029593125975043245,-0.03772618376399729,0.13198445531612127,-0.07841603145436384,-0.18553439751837367
Biotin [[M+H]],0.2027701401306021,-0.111911349711516,-0.034062919927722916,0.19015737140795932,0.054276572948459986
Choline [[M+H]],0.23025908283785973,-0.12490341173238219,-0.023950046602331153,0.03233342002852037,-0.016720879119455405
Cytidine [[M+H]],0.21651976376284737,-0.12564719650861297,-0.0683247759598562,0.1315758306579387,0.005027348208853657
Cytosine [[M+H]],-0.008179528827550452,0.05480774023153539,-0.1315663781549064,0.1891645907535238,-0.0046876720357646815
D-(+)-Melibiose [[M+K]]/Trehalose [[M+K]],-0.2289984216792482,-0.13436007527489674,-0.028568306638450204,0.15245154647875886,-0.041197720634887934
D-(+)-Turanose [[M+Na]],-0.23573646766670023,-0.10185284010579974,0.07629509027160711,0.10155432080889727,0.02081246407302692
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],-0.11481703885264431,-0.04724641909179391,-0.17649236035797594,0.0011829452545043398,-0.16793295945536504
D-Galactose [[M+Na]]/Galactose [[M+Na]],-0.11922880423612225,-0.0032346773255972606,-0.22368317229107326,-0.04837267123742903,-0.16602168443810975
D-Glucose [[M+Na]],-0.12793244315439734,0.05444694172385437,-0.2981939415716586,-0.12628911718628175,-0.09415995123169511
Glucosamine 6-Phosphate [[M+H]],0.1775723897060485,-0.09223639487378396,0.008527938760840644,0.17483376239449192,0.16558330852163541
Glucosamine [[M+H]],0.11594600799896906,0.06046059669005285,-0.12950523737325928,0.09486340208382453,0.13246103767708314
Glutamic Acid [[M-H2O+H]],-0.11022855287803626,-0.2693214405996149,-0.10320200379314312,-0.31300852098783194,0.2668697709879922
Glutathione [[M+H]],0.06950826400459374,0.21791054990023423,-0.2452134899039937,-0.03238130575298889,-0.036755126766054476
Guanosine-5'-Diphosphate [[M+H]],0.16629847388399183,-0.11829610641236944,0.0013375375771050317,0.002515950002050829,-0.020118367643276534
Histidine [[M+H]],0.0511674703460365,-0.14620108352283293,0.007012421736615984,-0.2035318664719489,-0.029000346866533248
Imidazoleacetic acid [[M+H]],-0.14079860552890966,-0.03794277448539559,-0.07211936075269007,0.029099148227062305,0.29370811706219596
Indole-3-Ethanol [[M+H]],-0.09871137334913907,0.19333651142646424,0.25850055380047005,-0.07910629699727689,-0.02674233672683506
Inositol [[M+Na]],-0.10819267625471449,0.07143307455594614,-0.2936007589431306,-0.14846936854196452,-0.05441972696182145
Isomaltose [[M+Na]],-0.2357856188741803,-0.10222028731028567,0.07562201017307724,0.1017554237602847,0.020674159629758757
L-Arginine [[M+H]],0.14301595839154782,-0.2022264228066096,0.07615617819995317,-0.2961985631595685,-0.06166746344120067
L-Citrulline [[M+H]],-0.08833234007761755,0.15700226273878914,0.346694466154967,-0.06037615828788159,-0.078535825910533
L-Glutamine [[M+H]],0.13765922139162967,-0.17775217388727846,0.04288408922645215,-0.19029182003174291,-0.05321686438258213
L-Lysine [[M+H]],-0.0011806694632208975,0.30911406528632085,0.0030591059991724595,-0.1414112393260632,-0.06553414665918575
L-Phenylalanine [[M+H]],0.079273270492621,0.004013719283286023,0.018472369562312775,0.2197196661634613,0.2698439397092555
L-Threonine [[M+Na]],-0.018136046956716462,-0.09296430516082729,-0.008352817310957461,0.062289875402503005,-0.2960810818601954
L-Tryptophan [[M+NH4]],-0.06708695324964883,-0.04987493465341879,0.07832885739300614,0.017771703467330903,0.020346424804445977
L-Tyrosine [[M+Na]],-0.0022981422302541066,0.06407429213600228,0.05008803889440465,0.1373855622550317,0.002201901242280427
L-Valine [[M+H]],-0.01844049720865408,-0.013368089702788858,0.07711538422485421,-0.12998648776340097,-0.09884233803878979
Maltose [[M+K]],-0.228055347249683,-0.1411438544912185,-0.0327429189704804,0.15220685596406225,-0.03675767771468199
Methionine [[M+H]],-0.059703856681788216,-0.009084026332062225,0.16335232622835943,-0.10023775634301144,0.12490903821752167
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.04042881731419671,0.2652230275076682,-0.004711161132853768,-0.09992187724764645,0.019546142480425615
N2-Acetyl-L-ornithine [[M+H]],0.11004186165394625,-0.15173208501625807,0.0953844095905174,-0.27768226296991494,-0.2007286643044075
Palatinose [[M+K]],-0.22939390689932057,-0.1384329868674012,-0.029828777669640028,0.15494888759083755,-0.05127791414408581
Pidolic Acid [[M+H]],-0.11539053580330322,-0.26067196706360335,-0.09522509217125746,-0.3111916922282267,0.2759333674318528
Sucrose [[M+K]],-0.22944218874576403,-0.13822143429942915,-0.029329682357722018,0.15482842738777872,-0.051184559851195285
Thymine [[M+H]],-0.14044313765878266,0.0062050243249367485,-0.06989225410436696,0.028741206668109108,0.24362557736576737
d-Desthiobiotin [[M+K]],0.07532905169382281,0.04527152517848554,-0.06125465773026764,0.03515935555053468,-0.000660670100809529
gamma-Glutamylcysteine [[M+H]],0.04113093915719254,-0.028594788117027894,-0.14400798497014528,-0.21003745523515216,-0.04574121962004723
