ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Asparagine [[M+NH4]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Glucose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+NH4]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Tryptophan [[M+NH4]]	Linoleic acid [[M+Na]]	Lipoamide [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N1-Acetylspermine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Nicotinamide ribotide [[M+H]]	O-acetyl-L-serine [[M+H]]	Oleic acid [[M+Na]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Pyridoxal [[M+H]]	Quinolinic Acid [[M-H2O+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00048-Positive-A1.d.DeMP	884.2928377153219	11047.07162284678	1394.7552130553038	55.48504079782412	208.06890299184045	66.58204895738893	418.91205802357206	3689.7552130553036	35814.20670897552	779.5648232094288	8349.805077062556	1696.4551223934723	2064.043517679057	300.312783318223	15.951949229374433	391.8631006346328	2014.8005439709882	7221.516772438804	5550.58476881233	6941.8721668177695	8625.149592021759	29.823209428830463	3.814596554850408	1.7339075249320037	4517.869446962829	2287.3708068902993	41872.47960108794	357.1849501359928	289.909338168631	8135.494106980961	5959.786944696283	1496.0154125113327	213.61740707162284	52.71078875793291	20.806890299184044	765.0	262.16681776971893	1.7339075249320037	832.2756119673618	190.0362647325476	74.21124206708976	1369.786944696283	22.194016319129645	128.30915684496827	382.8467815049864	9167.51586582049	295.45784224841344	541.672710788758	66.58204895738893	6167.16228467815	384.233907524932	6985.566636446057	47.1622846781505	1303.8984587488667	1572.307343608341	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00049-Positive-B6.d.DeMP	2585.0	5068.295081967213	2113.767213114754	24.578688524590167	594.1262295081967	381.39344262295083	1006.0311475409837	6068.393442622952	17233.898360655738	2256.154098360656	639.8934426229508	945.0081967213116	4465.693442622951	237.31147540983608	108.48524590163936	83.90655737704918	4675.03606557377	1688.3016393442624	450.044262295082	567.8524590163935	639.8934426229508	579.7180327868853	4.661475409836066	2.1188524590163937	4886.92131147541	98.31475409836067	28984.206557377052	1005.1836065573772	194.08688524590164	595.8213114754099	3251.1672131147543	812.7918032786886	4.2377049180327875	13.56065573770492	106.79016393442623	925.5147540983608	762.7868852459017	33.9016393442623	1494.2147540983608	86.44918032786886	173.74590163934428	1804.4147540983608	1462.855737704918	42.37704918032787	1370.4737704918034	662.7770491803279	112.72295081967214	497.5065573770492	115.26557377049181	1589.9868852459017	228.8360655737705	1688.3016393442624	13.56065573770492	300.02950819672134	2338.365573770492	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00051-Positive-F3.d.DeMP	2980.525142605108	5561.3866242404165	1956.1943714305844	83.22045382661625	19.00714068879507	225.00344923492543	1316.116066072783	4328.491011994251	19122.210945938044	2639.424023217002	2154.4850824001765	542.4740693883133	4343.902207147327	454.1165505106714	43.15134642861583	357.53972755138835	5622.00399184252	3466.491496432139	2494.558788778077	2860.317820411107	1953.1121323999691	433.5682903065686	5.650771556128264		3238.405808166598	184.934341836925	40368.084583970114	788.0257788273416	46.23358545923125	1748.6569433691463	5269.601329342157	1414.7477150524762	57.53512857148778	97.6042359694882	65.75443265312889	1195.9087438787817	281.51116479620805	48.28841147964153	1053.0983354602674	2.5685325255128473	83.22045382661625	2109.27890995115	403.7733130106196	264.0451436227207	759.2582145415977	716.1068681129818	182.87951581651473	295.89494693908	22.603086224513056	3146.9660502583406	60.617367602103194	3426.422389034138	381.1702267861065	407.8829650514401	3064.7730094419294	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00052-Positive-F11.d.DeMP	3195.4210526315787	5723.934210526316	2387.960526315789	7.888157894736842	613.8421052631578	1022.5921052631578	2204.3815789473683	7850.868421052631	24866.342105263157	3097.894736842105	163.5	2892.802631578947	1851.5657894736842	344.2105263157895	556.4736842105262	1026.8947368421052	6059.53947368421	3070.644736842105	60.23684210526316		183.57894736842104	50.19736842105263	7.888157894736842	3.5855263157894735	8240.973684210527	1178.921052631579	33845.93421052631	598.0657894736842	740.0526315789473		11024.776315789473	295.4473684210526	189.3157894736842	61.671052631578945	514.8815789473684	163.5	30.11842105263158	38.723684210526315	975.2631578947368	25.81578947368421	325.5657894736842	1951.9605263157894	309.7894736842105	2.8684210526315788	539.2631578947368	1663.6842105263156	74.57894736842105	593.7631578947368	84.61842105263158	3070.644736842105	1013.9868421052631	3070.644736842105	41.59210526315789	2320.552631578947	2078.1710526315787	Baseline growth without any supplementation or treatment.
Inj00061-Positive-G4.d.DeMP	3013.7361419068734	8898.458980044346	2269.223946784922	61.529933481152995	136.59645232815964	1288.4368070953437	1762.2172949002218	5550.0	38831.54101995565	2318.447893569845	2266.762749445676	758.0487804878048	5983.170731707317	265.80931263858093	468.85809312638577	17.843680709534368	7554.645232815964	3181.0975609756097	2080.9423503325943	2413.20399113082	2271.6851441241683	118.13747228381375	46.76274944567627	67.6829268292683	2455.0443458980044	1094.0022172949002	47449.42350332594	1497.6385809312637	50.45454545454545	1733.9135254988912	22219.68957871397	1384.4235033259422	207.97117516629712	3.6917960088691797	61.529933481152995	914.3348115299334	1011.5521064301552	3.0764966740576494	617.760532150776	3.0764966740576494	52.91574279379157	1436.1086474501108	255.96452328159646	995.5543237250554	1864.3569844789356	1214.60088691796	102.13968957871397	1171.529933481153	19.689578713968956	2962.050997782705	147.67184035476717	3170.022172949002	98.44789356984478	265.80931263858093	2275.376940133038	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00062-Positive-H3.d.DeMP	3793.1723625557206	5239.05646359584	624.0490341753343	6.2518573551263	950.2823179791976	563.8038632986627	1434.517087667162	4160.326894502229	17647.2882615156	3405.55720653789	1318.5735512630015	685.4309063893016	2634.873699851412	771.8202080237742	239.84398216939078	106.84992570579494	6090.445765230312	1193.5364041604755	176.1887072808321	333.05349182763746	1308.3432392273403	175.05200594353641	6.2518573551263		2576.9019316493313	2904.27191679049	15556.894502228826	314.8662704309064	211.4264487369985	1285.6092124814265	12792.436849925705	1102.6002971768203	21.59732540861813	145.49777117384843	110.26002971768202	765.0	148.90787518573552		1504.992570579495	2.8417533432392275	267.1248142644874	1709.5988112927191		76.15898959881129	1371.998514115899	3055.4531946508173	63.655274888558694	555.8469539375928	18.187221396731054	978.6998514115899	218.24665676077265	1193.5364041604755		2301.8202080237743	195.51263001485884	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00063-Positive-H4.d.DeMP	3552.8407643312103	6487.79617834395	892.8662420382166	6.025477707006369	20.26751592356688	857.8089171974523	272.7898089171975	2146.1656050955417	23923.337579617837	3149.6815286624205	460.12738853503186	1151.4140127388537	4058.9808917197456	242.11464968152868	661.7070063694268	1282.8789808917197	8177.121019108281	1406.6751592356688	123.79617834394905	277.171974522293	460.12738853503186	135.84713375796179	6.025477707006369	2.7388535031847137	1193.0445859872611	1702.471337579618	21909.732484076434	1550.191082802548	641.9872611464968	460.12738853503186	22679.898089171977	3705.1210191082805	170.9044585987261	3.286624203821656	223.4904458598726	597.0700636942676	47.10828025477707		937.7834394904459	2.7388535031847137	190.62420382165607	3064.2292993630576	31.770700636942678	122.70063694267516	656.2292993630574	2127.5414012738856	2.1910828025477707	344.0	6.025477707006369	1351.8980891719746	641.9872611464968	1406.6751592356688		1762.7261146496817	603.6433121019109	Growth with 10 mM proline supplementation, no lactic acid.
Inj00064-Positive-A4.d.DeMP	8118.8844621513945	3915.5378486055774	1364.0796812749004	14.725099601593625	1417.6254980079682	1977.179282868526	1266.3585657370518	6608.892430278885	15173.545816733067	7802.964143426295		1277.0677290836654	5283.633466135458	336.0	447.1075697211155	361.43426294820716	5732.0796812749	864.7649402390438				91.02788844621514	70.94820717131473	28.111553784860558	1843.3147410358565	1176.6693227091632	28266.836653386454	14.725099601593625	301.195219123506		32824.924302788844	1354.7091633466134	123.15537848605578	215.5219123505976	297.1792828685259	1321.2430278884462	89.68924302788845	30.788844621513945	1188.7171314741036	3.346613545816733	1163.2828685258964	1232.8924302788844		2.6772908366533863	453.800796812749	1086.980079681275	195.4422310756972	14.725099601593625	7.362549800796812	840.6693227091633	376.1593625498008	864.7649402390438	60.23904382470119	2686.661354581673	1057.5298804780875	Growth with 20 mM proline supplementation, no lactic acid.
Inj00065-Positive-B3.d.DeMP	3494.2100456621006	4056.771689497717	797.9269406392694	4.244292237442923	695.2922374429224	1116.6347031963471	861.9771689497717	6449.009132420091	15624.397260273972	3106.0502283105025	933.744292237443	1564.2146118721462	1675.337899543379	432.9178082191781	372.7260273972603	1069.5616438356165	3978.0593607305937	2507.219178082192	393.9474885844749	542.4977168949772	943.7762557077626	2.315068493150685	12.34703196347032	17.748858447488583	4084.5525114155253	3197.8812785388127	39863.93607305936	787.8949771689498	169.0	890.5296803652968	12371.72602739726	1348.1415525114155	157.4246575342466	43.21461187214612	120.38356164383562	923.7123287671233	290.9269406392694	18.52054794520548	764.7442922374429	41.67123287671233	198.324200913242	1350.4566210045662	27.009132420091326	120.38356164383562	543.2694063926941	7165.908675799087	19.292237442922374	934.5159817351598	39.35616438356165	2182.337899543379	189.83561643835617	2457.8310502283107	161.28310502283105	1449.2328767123288	963.8401826484019	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00076-Positive-A6.d.DeMP	4408.1923299074315	3922.544022375257	692.5517284926278	44.54170867898644	1793.1629816572604	1004.3436892455329	2673.9393500514116	9715.839809267945	14135.526773673178	4106.458174340104	2627.9608120601997	729.9092906104875	3257.2920508149114	465.53269716101954	1214.1207688304366	658.0678249992189	11695.790601514504	1326.1934551840154	1408.0927259808616	1899.4883507619377	2627.9608120601997	87.6465880457475	7.902561217239529	3.5920732805634223	1504.3602898999613	1455.5080932842986	17246.262234641104	2015.8715250521925	81.89927079684603	2195.4751890803636	22002.167258107074	2186.8542132070115	3.5920732805634223	143.6829312225369	43.10487936676107	1155.2107670291966	629.3312387547115	17.241951746704427	949.7441753809688	3.5920732805634223	66.09414836236697	1431.0819949764675		84.77292942129677	600.5946525102042	2656.697398304707	12.93146381002832	571.8580662656968	7.902561217239529	1020.1488116800119	81.89927079684603	1311.8251620617618	169.54585884259353	765.8300234161217	143.6829312225369	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00078-Positive-F8.d.DeMP	5761.131176470589	5982.4529411764715	802.1705882352942	91.81470588235295	2719.648235294118	1042.8217647058825	1058.2852941176473	3424.2052941176476	20601.28705882353	5331.051764705883	298.6394117647059	1682.6252941176472	2742.843529411765	334.3988235294118	1785.0711764705884	1567.6152941176472	14705.816470588237	830.1982352941177	64.75352941176472	163.33352941176472	298.6394117647059	69.58588235294118	311.20352941176475	4.832352941176471	3094.638823529412	2702.2517647058826	21230.459411764707	1161.6976470588236	172.03176470588238	298.6394117647059	18236.333529411768	1738.6805882352942	131.44	114.04352941176472	513.1958823529412	1412.98	5.798823529411766	24.161764705882355	821.5000000000001	19.329411764705885	387.55470588235295	3484.1264705882354		59.92117647058824	360.4935294117647	3075.309411764706	66.6864705882353	104.37882352941178	33.826470588235296	830.1982352941177	169.1323529411765	830.1982352941177		1843.059411764706	349.8623529411765	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00089-Positive-A11.d.DeMP	3350.487804878049	2825.9024390243903	1350.390243902439	29.65853658536585	1411.560975609756	478.2439024390244	1028.780487804878	3952.9268292682927	10008.829268292682	3248.5365853658536	361.4634146341463	790.5853658536586	2527.4634146341464	376.2926829268293	254.8780487804878	248.390243902439	4132.731707317073	726.6341463414634	62.09756097560975		366.0975609756097	76.0	5.097560975609756	2.317073170731707	3285.609756097561	471.7560975609756	20266.048780487803	29.65853658536585	148.29268292682926	336.4390243902439	5143.90243902439	257.6585365853658	186.29268292682926	25.95121951219512	240.97560975609755	1101.0731707317073	696.0487804878048	11.121951219512194	682.1463414634146	92.6829268292683	74.14634146341463	1227.121951219512	179.8048780487805	649.7073170731708	909.219512195122	629.3170731707316	343.8536585365854	565.3658536585366	176.09756097560975	726.6341463414634	159.41463414634146	726.6341463414634		1862.9268292682927	1136.2926829268292	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00090-Positive-C10.d.DeMP	18374.54324565314	15811.748105216227	1014.4059295586268	56.8067320552831	3512.279090503789	2059.6497993758358	6956.390102541239	10074.268167632634	51539.936469014705	16842.384529647792	51.93758359340169	4138.776192599197	9314.681007579135	486.91484618814087	1119.9041462327239	2002.8430673205528	16316.5164957646	529.7633526526972	51.93758359340169	51.93758359340169	51.93758359340169	139.58225590726704	8.926772180115915	8.115247436469014	3640.4999999999995	4557.522960320998	32538.89612126616	5297.633526526973	728.7492197949175	17.85354436023183	62019.96700847079	1449.3831921533658	61.67588051716451	47.06843513152028	246.70352206865803	660.5811413285777	298.6411056620597		3872.5960766830135	22.72269282211324	1475.3519839500668	3895.318769505127	51.93758359340169	3.2460989745876057	574.5595185020062	4435.794248773963	256.44181899242085	217.48863129736958	142.82835488185464	423.61591618368254	746.6027641551493	462.5691038787338		964.0913954525189	628.1201515827017	Growth with 20 mM proline supplementation, no lactic acid.
