,PLS1,PLS2,PLS3,PLS4,PLS5
L-Lysine [[M+Na]],0.06531811412377601,0.06257985604222863,0.11879967668254046,0.08504218797971999,-0.015915571956642983
L-Threonine [[M+Na]],0.03449851317246845,-0.02439514579852423,-0.05875518732198972,0.016843536172877677,-0.13360434790333003
L-Tryptophan [[M+NH4]],-0.02166251108465166,0.07776677113622238,0.22965257217094034,-0.14377454488121338,0.05470106134995759
L-Valine [[M+H]],-0.02622600753788618,0.14818126080191613,0.17433201188658043,0.12962656379410767,-0.0638914236666656
Levocarnitine [[M+H]],0.017621117013039225,0.04883879547467586,0.19692034019384175,-0.10896450936703841,-0.10650522330921074
Methionine [[M+H]],-0.037016852612255395,0.0016120075697260271,-0.06842252896110611,-0.032952558789703615,0.0015051743833694783
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.0033255241633740567,0.3476166213304025,0.06592376264967353,0.24903535041335034,0.029870428143395418
N2-Acetyl-L-ornithine [[M+H]],-0.18838952483745702,-0.14237574603242492,0.14287170096527047,0.09870933944470511,0.014578447563041962
Niacin [[M+H]],-0.003402830538572022,0.10374917269113114,-0.13187580091948056,-0.07338208156319637,0.09415577570936991
Nicotinamide [[M+H]],-0.055528703702191165,0.24084631914009275,0.08746702371034627,0.07277775088546098,-0.04989924163340829
Nicotinamide ribotide [[M+H]],-0.03438118956599078,0.27395337024259586,-0.17338191738039707,-0.062129112786166014,0.12014428354670266
O-acetyl-L-serine [[M+H]],-0.0674892239404059,0.05600689987457134,-0.22977355920906622,-0.1498522669811575,-0.08795498257010359
Phenylethyl alcohol [[M+H]],0.07241213387562373,0.058486706965877086,-0.004571308193813935,0.2152477283165536,-0.12683667455179531
Pidolic Acid [[M+H]],-0.17234607491071174,-0.16018212778957847,-0.09265832532496758,0.05477963467202071,-0.34116128045646266
Proline [[M+NH4]],0.01593736187792226,0.06940273962936241,0.04951724854037419,0.026363874013175498,-0.23785345643819472
Pyridoxal [[M+H]],-0.034403046095952565,0.08554335350119595,0.07912305699608346,0.09542837380161985,-0.05756121490097866
Pyridoxamine [[M+H]],0.07161580440614723,0.06805100325301904,0.18550897758839252,0.17017926772078212,-0.08984902020839494
Sucrose [[M+Na]],0.17287608297143214,-0.15762357521004716,0.11348286999418349,-0.10216579955416889,0.17868119067179739
Thymine [[M+H]],-0.03501112247221579,-0.10698317904582832,0.06757716215873154,0.13354533642898198,0.19732961459403683
Trehalose [[M+Na]],0.17426310026529923,-0.16030843357419067,0.10353999382951017,-0.09681885200644944,0.17243233078486525
Xanthurenic acid [[M+H]],-0.16064197312556205,-0.035573752286031754,-0.06210632902478056,0.04529262899323368,0.009753756170727535
d-Desthiobiotin [[M+K]],0.0128319999050127,-0.013857853506161115,0.12235670038252013,-0.11176756266453457,0.011309251951938293
gamma-Glutamylcysteine [[M+H]],-0.1545923259525812,-0.04054589659861084,0.0076142802443028065,0.15664053622422403,-0.15300383896162206
