	AllCCS ID	Name	Structure	Formula	Type	Adduct	m/z	CCS	Confidence level	Update date
6100	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M-H]-	153.1285	136.8	4	2023-04-30
6101	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M+Na-2H]-	175.1105	139.1	4	2023-04-30
6102	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M+HCOO]-	199.134	137.4	4	2023-04-30
4366	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+H]+	91.039	120.6	4	2023-04-30
4367	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+Na]+	113.021	130.1	4	2023-04-30
4368	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+NH4]+	108.0656	127.3	4	2023-04-30
4369	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M-H2O+H]+	73.0284	121.7	4	2023-04-30
4370	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M-H]-	89.0244	116.2	4	2023-04-30
4371	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+Na-2H]-	111.0064	125.5	4	2023-04-30
4372	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+HCOO]-	135.0299	129.3	4	2023-04-30
1622	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M+H]+	346.3316	194.4	4	2023-04-30
1623	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M+Na]+	368.3136	199.3	4	2023-04-30
1624	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M+NH4]+	363.3582	198.0	4	2023-04-30
1625	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M-H2O+H]+	328.321	190.2	4	2023-04-30
1626	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M-H]-	344.317	189.9	4	2023-04-30
1627	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M+Na-2H]-	366.299	194.0	4	2023-04-30
1628	AllCCS00166093	(2S,3S,4R)-2-Amino-1,3,4-eicosanetriol	CCCCCCCCCCCCCCCCC(O)C(O)C(N)CO	C20H43NO3	Predicted CCS	[M+HCOO]-	390.3225	199.0	4	2023-04-30
1643	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M+H]+	290.269	175.8	4	2023-04-30
1644	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M+Na]+	312.251	182.7	4	2023-04-30
1645	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M+NH4]+	307.2956	180.8	4	2023-04-30
1646	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M-H2O+H]+	272.2584	172.6	4	2023-04-30
1647	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M-H]-	288.2544	173.3	4	2023-04-30
1648	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M+Na-2H]-	310.2364	178.7	4	2023-04-30
1649	AllCCS00280380	(2S,3S,4R)-2-Amino-1,3,4-hexadecanetriol	CCCCCCCCCCCCC(O)C(O)C(N)CO	C16H35NO3	Predicted CCS	[M+HCOO]-	334.2599	183.5	4	2023-04-30
5256	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M+H]+	175.0601	133.5	4	2023-04-30
5257	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M+Na]+	197.0421	143.8	4	2023-04-30
5258	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M+NH4]+	192.0867	140.2	4	2023-04-30
5259	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M-H2O+H]+	157.0495	127.2	4	2023-04-30
5260	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M-H]-	173.0455	131.5	4	2023-04-30
5261	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M+Na-2H]-	195.0275	138.8	4	2023-04-30
5262	AllCCS00004026	(2S)-2-Isopropyl-3-oxosuccinate	CC(C)[C@@H](C(=O)C(=O)O)C(=O)O	C7H10O5	Predicted CCS	[M+HCOO]-	219.051	147.9	4	2023-04-30
7434	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M+H]+	559.3993	239.1	4	2023-04-30
7435	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M+Na]+	581.3813	242.0	4	2023-04-30
7436	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M+NH4]+	576.4259	242.7	4	2023-04-30
7437	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M-H2O+H]+	541.3887	239.5	4	2023-04-30
7438	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M-H]-	557.3847	237.1	4	2023-04-30
7439	AllCCS00284938	(3beta,22E)-ergosta-5,7,22-trien-3-yl D-glucopyranoside|3-beta-O-glucopyranosylergosta-5,7,22-triene|Egosteryl-beta-D-glucopyranosid|ergosterol-3-O-beta-D-glucopyranoside|ergosteryl-3-O-beta-D-glucopyranoside|ergosteryl-beta-D-glucopyranoside	CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(CCC4(C)C3CCC12C)OC5OC(CO)C(O)C(O)C5O	C34H54O6	Predicted CCS	[M+Na-2H]-	579.3667	235.1	4	2023-04-30
