Name,Monoisotopic Mass,InChI Key,Chemical Formula,CCS Type,Adduct Type,Data Source / Predictor,m/z,CCS Value (Å²),Reference
Glycine,75.032028409,[M-H]-,Predicted,AllCCS,74.024752409,126.8,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+Na-2H]-,Predicted,AllCCS,96.006694409,132.4,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+HCOO]-,Predicted,AllCCS,120.03022940900001,138.6,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Histidine,155.069476547,[M+H]+,Predicted,DarkChem,156.07675254699998,133.846,31661259,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-H]-,Predicted,DarkChem,154.062200547,131.457,31661259,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+H]+,Predicted,AllCCS,156.07675254699998,134.444,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-H]-,Predicted,AllCCS,154.062200547,129.328,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+H]+,Predicted,DeepCCS,156.07675254699998,129.071,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+H]+,Predicted,DeepCCS,156.07675254699998,125.242,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-H]-,Predicted,DeepCCS,154.062200547,125.243,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-H]-,Predicted,DeepCCS,154.062200547,121.582,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-2H]-,Predicted,DeepCCS,77.0311002735,162.774,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+Na]+,Predicted,DeepCCS,178.058694547,138.312,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-2H]-,Predicted,DeepCCS,77.0311002735,158.921,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
