	HMDB
YMDB00426	HMDB00221
YMDB00427	HMDB00217
YMDB00428	
YMDB00430	
YMDB00437	
YMDB00438	HMDB01185
YMDB00440	HMDB06817
YMDB00441	HMDB00008
YMDB00442	
YMDB00446	HMDB01275
YMDB00449	
YMDB00451	HMDB00905
YMDB00452	
YMDB00453	
YMDB00454	HMDB01314
YMDB00455	
YMDB00456	
YMDB00457	HMDB00755
YMDB00459	HMDB06816
YMDB00460	HMDB01063
YMDB00461	HMDB00977
YMDB00463	
YMDB00464	HMDB03938
YMDB00465	HMDB03936
YMDB00466	HMDB03712
YMDB00467	
YMDB00468	HMDB03932
YMDB00469	HMDB03945
YMDB00470	HMDB06529
YMDB00471	HMDB12715
YMDB00472	
YMDB00473	HMDB03934
YMDB00474	HMDB03939
YMDB00475	HMDB03937
YMDB00476	
YMDB00477	HMDB06498
YMDB00478	HMDB03935
YMDB00479	
YMDB00481	
YMDB00483	HMDB01846
YMDB00485	
YMDB00489	HMDB03681
YMDB00492	HMDB01235
YMDB00493	HMDB01392
YMDB00494	
YMDB00495	HMDB00500
YMDB00496	HMDB06467
YMDB00497	
YMDB00498	HMDB02035
YMDB00499	HMDB06478
YMDB00500	HMDB03502
YMDB00501	
YMDB00502	
YMDB00503	HMDB00101
YMDB00504	HMDB00014
YMDB00505	HMDB00085
YMDB00506	HMDB01044
YMDB00507	HMDB00273
YMDB00508	HMDB00012
YMDB00509	HMDB00133
YMDB00510	HMDB00195
YMDB00511	HMDB00299
YMDB00514	HMDB01022
YMDB00515	
YMDB00516	HMDB01562
YMDB00517	HMDB00972
YMDB00518	HMDB12177
YMDB00520	
YMDB00521	
YMDB00523	
YMDB00525	
YMDB00527	HMDB01338
YMDB00528	HMDB01521
YMDB00529	HMDB01484
YMDB00530	HMDB03571
YMDB00531	HMDB01070
YMDB00532	HMDB06404
YMDB00533	HMDB01175
YMDB00534	HMDB00244
YMDB00535	HMDB03529
YMDB00536	
YMDB00537	
YMDB00538	HMDB01114
YMDB00539	HMDB01322
YMDB00540	HMDB06847
YMDB00541	
YMDB00542	
YMDB00543	HMDB00878
YMDB00544	
YMDB00545	
YMDB00546	
YMDB00548	HMDB03993
YMDB00549	
YMDB00550	
YMDB00551	
YMDB00552	
YMDB00553	
YMDB00554	
YMDB00555	HMDB00157
YMDB00558	HMDB01273
YMDB00559	HMDB00189
YMDB00561	HMDB00797
YMDB00562	HMDB01517
YMDB00564	HMDB11617
YMDB00565	HMDB11616
YMDB00567	
YMDB00568	
YMDB00569	
YMDB00572	
YMDB00573	HMDB06006
YMDB00575	
YMDB00576	HMDB00197
YMDB00577	HMDB03447
YMDB00578	HMDB00980
YMDB00579	HMDB02275
YMDB00581	
YMDB00582	
YMDB00584	HMDB00163
YMDB00585	HMDB03464
YMDB00586	
YMDB00587	HMDB01080
YMDB00590	HMDB01211
YMDB00591	HMDB01851
YMDB00592	HMDB00517
YMDB00593	HMDB00052
YMDB00596	HMDB01131
YMDB00597	HMDB01197
YMDB00599	
YMDB00600	HMDB01340
YMDB00602	HMDB04220
YMDB00604	
YMDB00605	
YMDB00606	
YMDB00607	
YMDB00608	HMDB06271
YMDB00609	
YMDB00610	
YMDB00611	
YMDB00612	
YMDB00613	
YMDB00614	
YMDB00615	
YMDB00616	HMDB00062
YMDB00617	
YMDB00619	
YMDB00620	
YMDB00621	
YMDB00622	
YMDB00623	
YMDB00624	
YMDB00627	
YMDB00630	HMDB00072
YMDB00631	
YMDB00632	
YMDB00633	
YMDB00634	
YMDB00635	HMDB01094
YMDB00636	
YMDB00637	HMDB01469
YMDB00638	HMDB12217
YMDB00639	
YMDB00640	
YMDB00641	
YMDB00642	
YMDB00643	
YMDB00644	
YMDB00645	
YMDB00646	
YMDB00647	
YMDB00648	
YMDB00650	HMDB11734
YMDB00651	HMDB00630
YMDB00652	HMDB03011
YMDB00653	HMDB03276
YMDB00654	
YMDB00655	HMDB01076
YMDB00656	HMDB00247
YMDB00657	HMDB00660
YMDB00658	HMDB00998
YMDB00659	HMDB00071
YMDB00660	
YMDB00661	HMDB03224
YMDB00662	HMDB01031
YMDB00663	HMDB01351
YMDB00664	HMDB01373
YMDB00668	
YMDB00670	HMDB01285
YMDB00671	HMDB01294
YMDB00672	
YMDB00674	
YMDB00675	HMDB03391
YMDB00676	HMDB00482
YMDB00677	HMDB00511
YMDB00679	HMDB00806
YMDB00680	HMDB02000
YMDB00681	HMDB03229
YMDB00682	HMDB00827
YMDB00684	HMDB02003
YMDB00686	
YMDB00687	HMDB01058
YMDB00690	HMDB00125
YMDB00691	HMDB06248
YMDB00692	HMDB00302
YMDB00694	HMDB00086
YMDB00695	HMDB06454
YMDB00696	
YMDB00697	HMDB00962
YMDB00698	HMDB00132
YMDB00700	HMDB01532
YMDB00701	
YMDB00702	HMDB03431
YMDB00703	HMDB00479
YMDB00705	
YMDB00706	
YMDB00707	HMDB00227
YMDB00708	HMDB01375
YMDB00709	
YMDB00711	HMDB01059
YMDB00712	
YMDB00713	
YMDB00714	HMDB02985
YMDB00715	HMDB06814
YMDB00716	HMDB02092
YMDB00717	HMDB03377
YMDB00718	
YMDB00719	
YMDB00720	HMDB06556
YMDB00721	HMDB01263
YMDB00722	HMDB02070
YMDB00723	HMDB00725
YMDB00724	
YMDB00725	HMDB01200
YMDB00726	
YMDB00727	HMDB01188
YMDB00728	
YMDB00729	
YMDB00730	HMDB01085
YMDB00731	
YMDB00732	
YMDB00733	
YMDB00734	
YMDB00735	
YMDB00736	
YMDB00737	HMDB01062
YMDB00738	HMDB02064
YMDB00739	
YMDB00741	
YMDB00744	HMDB01440
YMDB00745	HMDB01342
YMDB00746	HMDB01000
YMDB00747	
YMDB00749	HMDB01016
YMDB00751	
YMDB00752	HMDB01068
YMDB00753	
YMDB00754	
YMDB00756	HMDB00807
YMDB00757	
YMDB00758	HMDB06211
YMDB00759	
YMDB00760	HMDB02022
YMDB00761	HMDB00272
YMDB00762	
YMDB00763	
YMDB00764	
YMDB00765	
YMDB00766	HMDB03826
YMDB00769	HMDB00256
YMDB00770	HMDB00036
YMDB00771	
YMDB00772	HMDB00251
YMDB00773	HMDB06825
YMDB00775	
YMDB00776	
YMDB00777	
YMDB00778	HMDB02917
YMDB00779	HMDB00098
YMDB00780	HMDB01271
YMDB00781	
YMDB00782	
YMDB00784	
YMDB00786	HMDB00205
YMDB00787	HMDB03454
YMDB00788	
YMDB00789	HMDB00302
YMDB00791	
YMDB00792	HMDB00213
YMDB00794	
YMDB00795	
YMDB00796	
YMDB00797	HMDB00302
YMDB00800	
YMDB00802	
YMDB00804	
YMDB00805	HMDB00158
YMDB00807	HMDB00115
YMDB00808	HMDB01183
YMDB00810	
YMDB00811	HMDB04089
YMDB00812	
YMDB00813	HMDB03466
YMDB00814	
YMDB00816	
YMDB00817	
YMDB00819	HMDB11662
YMDB00820	
YMDB00821	
YMDB00822	
YMDB00823	
YMDB00824	HMDB01140
YMDB00825	
YMDB00826	HMDB11624
YMDB00829	
YMDB00830	HMDB00765
YMDB00831	HMDB06330
YMDB00832	
YMDB00833	
YMDB00834	
YMDB00838	
