,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
248,CCS Compendium-8,Uridine triphosphate,C9H15N2O15P3,[M+Na]+,1.0,506.9545,1.0,188.5
249,CCS Compendium-8,Sphinganine,C18H39NO2,[M+H]+,1.0,302.3046,1.0,188.9
250,CCS Compendium-8,Sphinganine,C18H39NO2,[M+Na]+,1.0,324.2865,1.0,190.8
251,CCS Compendium-6,Lysine,C6H14N2O2,[M+H]+,1.0,147.1128,1.0,131.5
252,CCS Compendium-8,Lysine,C6H14N2O2,[M+Na]+,1.0,169.0939,1.0,135.2
254,CCS Compendium-78,Lysine,C6H14N2O2,[M+H]+,1.0,147.1123,1.0,131.1
255,CCS Compendium-7,Succinic acid,C4H6O4,[M+H]+,1.0,119.0344,1.0,121.9
258,CCS Compendium-7,,C6H6O6,[M+H]+,1.0,175.0243,1.0,152.0
259,CCS Compendium-7,,C6H6O6,[M+Na]+,1.0,197.0062,1.0,148.2
261,CCS Compendium-8,,C9H17NO4,[M+H]+,1.0,204.1222,1.0,143.5
264,CCS Compendium-78,Inosinic acid,C10H13N4O8P,[M+H]+,1.0,349.0532,1.0,174.9
265,CCS Compendium-78,Inosinic acid,C10H13N4O8P,[M+Na]+,1.0,371.0353,1.0,171.5
267,CCS Compendium-8,Indoleacetaldehyde,C10H9NO,[M+H]+,1.0,160.075,1.0,132.4
272,CCS Compendium-8,Adenosine diphosphate ribose,C15H23N5O14P2,[M+H]+,1.0,560.0791,1.0,212.5
273,CCS Compendium-8,Adenosine diphosphate ribose,C15H23N5O14P2,[M+Na]+,1.0,582.0605,1.0,217.6
275,CCS Compendium-6,Pyridoxal 5'-phosphate,C8H10NO6P,[M+H]+,1.0,248.0319,1.0,151.7
276,CCS Compendium-6,Pyridoxal 5'-phosphate,C8H10NO6P,[M+Na]+,1.0,270.0138,1.0,161.4
279,CCS Compendium-78,Pyridoxal 5'-phosphate,C8H10NO6P,[M+H]+,1.0,248.0313,1.0,152.4
280,CCS Compendium-78,Pyridoxal 5'-phosphate,C8H10NO6P,[M+Na]+,1.0,270.0148,1.0,162.4
282,CCS Compendium-6,L-Tyrosine,C9H11NO3,[M+H]+,1.0,182.0812,1.0,146.0
284,CCS Compendium-78,L-Tyrosine,C9H11NO3,[M+H]+,1.0,182.0806,1.0,145.5
285,CCS Compendium-78,L-Tyrosine,C9H11NO3,[M+Na]+,1.0,204.0626,1.0,143.2
287,CCS Compendium-6,Histidine,C6H9N3O2,[M+H]+,1.0,156.0768,1.0,132.3
288,CCS Compendium-6,Histidine,C6H9N3O2,[M+Na]+,1.0,178.0587,1.0,134.9
290,CCS Compendium-78,Histidine,C6H9N3O2,[M+H]+,1.0,156.0774,1.0,131.9
291,CCS Compendium-78,Histidine,C6H9N3O2,[M+Na]+,1.0,178.0586,1.0,134.7
292,CCS Compendium-6,,C4H9NO2S,[M+H]+,1.0,136.0427,1.0,130.2
296,CCS Compendium-8,Kynurenine,C10H12N2O3,[M+H]+,1.0,209.0908,1.0,149.8
