,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
3173,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,166.08625460099998,[M+H]+,130.1,30932474.0,Predicted,DeepCCS
3174,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,164.071702601,[M-H]-,130.5,30932474.0,Predicted,DeepCCS
3175,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,164.071702601,[M-H]-,126.2,30932474.0,Predicted,DeepCCS
3176,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,82.0358513005,[M-2H]-,167.7,30932474.0,Predicted,DeepCCS
3177,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,188.068196601,[M+Na]+,143.3,30932474.0,Predicted,DeepCCS
3178,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,82.0358513005,[M-2H]-,163.6,30932474.0,Predicted,DeepCCS
3179,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,188.068196601,[M+Na]+,139.1,30932474.0,Predicted,DeepCCS
3181,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,148.075689601,[M+H-H2O]+,132.5,32859911.0,Predicted,AllCCS
3182,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,183.112801601,[M+NH4]+,140.9,32859911.0,Predicted,AllCCS
3183,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,188.068196601,[M+Na]+,142.0,32859911.0,Predicted,AllCCS
3185,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,186.053644601,[M+Na-2H]-,136.3,32859911.0,Predicted,AllCCS
3186,YMDB00304,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,Phenylalanine,C9H11NO2,210.077179601,[M+HCOO]-,137.6,32859911.0,Predicted,AllCCS
3187,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,666.108238248,[M+H]+,231.3,32859911.0,Predicted,AllCCS
3188,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,664.0936862479999,[M-H]-,218.5,32859911.0,Predicted,AllCCS
3189,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,666.108238248,[M+H]+,208.0,30932474.0,Predicted,DeepCCS
3190,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,664.0936862479999,[M-H]-,206.0,30932474.0,Predicted,DeepCCS
3191,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,332.046843124,[M-2H]-,239.6,30932474.0,Predicted,DeepCCS
3192,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,688.090180248,[M+Na]+,213.7,30932474.0,Predicted,DeepCCS
3194,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,648.097673248,[M+H-H2O]+,230.6,32859911.0,Predicted,AllCCS
3195,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,683.134785248,[M+NH4]+,231.9,32859911.0,Predicted,AllCCS
3196,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,688.090180248,[M+Na]+,232.0,32859911.0,Predicted,AllCCS
3198,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,686.0756282479999,[M+Na-2H]-,219.9,32859911.0,Predicted,AllCCS
3199,YMDB00306,HMDB0001179,SENPVEZBRZQVST-HISDBWNOSA-O,Nicotinic acid adenine dinucleotide,C21H27N6O15P2,710.099163248,[M+HCOO]-,221.7,32859911.0,Predicted,AllCCS
3200,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,405.009472946,[M+H]+,188.8,31661259.0,Predicted,DarkChem
3201,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,402.994920946,[M-H]-,179.5,31661259.0,Predicted,DarkChem
3202,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,405.009472946,[M+H]+,181.9,32859911.0,Predicted,AllCCS
3203,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,402.994920946,[M-H]-,174.5,32859911.0,Predicted,AllCCS
3204,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,405.009472946,[M+H]+,169.5,30932474.0,Predicted,DeepCCS
3205,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,402.994920946,[M-H]-,167.1,30932474.0,Predicted,DeepCCS
3206,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,201.497460473,[M-2H]-,200.4,30932474.0,Predicted,DeepCCS
3207,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,426.991414946,[M+Na]+,176.2,30932474.0,Predicted,DeepCCS
3209,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,386.998907946,[M+H-H2O]+,179.4,32859911.0,Predicted,AllCCS
3210,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,422.036019946,[M+NH4]+,184.2,32859911.0,Predicted,AllCCS
3211,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,426.991414946,[M+Na]+,184.9,32859911.0,Predicted,AllCCS
3213,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,424.976862946,[M+Na-2H]-,174.5,32859911.0,Predicted,AllCCS
3214,YMDB00307,HMDB00295,XCCTYIAWTASOJW-XVFCMESISA-N,Uridine 5'-diphosphate,C9H14N2O12P2,449.000397946,[M+HCOO]-,174.6,32859911.0,Predicted,AllCCS
3217,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,261.036994526,[M+H]+,154.7,31661259.0,Predicted,DarkChem
3218,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,259.022442526,[M-H]-,148.8,31661259.0,Predicted,DarkChem
3219,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,261.036994526,[M+H]+,143.3,30932474.0,Predicted,DeepCCS
3220,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,259.022442526,[M-H]-,140.9,30932474.0,Predicted,DeepCCS
3221,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,129.511221263,[M-2H]-,175.4,30932474.0,Predicted,DeepCCS
3222,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,283.018936526,[M+Na]+,149.9,30932474.0,Predicted,DeepCCS
3223,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,261.036994526,[M+H]+,156.8,32859911.0,Predicted,AllCCS
3224,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,243.026429526,[M+H-H2O]+,153.2,32859911.0,Predicted,AllCCS
3225,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,278.063541526,[M+NH4]+,160.2,32859911.0,Predicted,AllCCS
3226,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,283.018936526,[M+Na]+,161.1,32859911.0,Predicted,AllCCS
3227,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,259.022442526,[M-H]-,147.2,32859911.0,Predicted,AllCCS
3228,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,281.004384526,[M+Na-2H]-,147.5,32859911.0,Predicted,AllCCS
3229,YMDB00311,HMDB03498,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,beta-D-Glucose 6-phosphate,C6H13O9P,305.027919526,[M+HCOO]-,147.9,32859911.0,Predicted,AllCCS
3230,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,810.1330490510001,[M+H]+,249.8,32859911.0,Predicted,AllCCS
3231,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,808.118497051,[M-H]-,248.0,32859911.0,Predicted,AllCCS
3232,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,810.1330490510001,[M+H]+,173.9,30932474.0,Predicted,DeepCCS
3233,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,808.118497051,[M-H]-,172.0,30932474.0,Predicted,DeepCCS
3234,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,404.0592485255,[M-2H]-,206.4,30932474.0,Predicted,DeepCCS
3235,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,832.1149910510001,[M+Na]+,181.1,30932474.0,Predicted,DeepCCS
3237,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,792.122484051,[M+H-H2O]+,250.0,32859911.0,Predicted,AllCCS
3238,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,827.159596051,[M+NH4]+,249.5,32859911.0,Predicted,AllCCS
3239,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,832.1149910510001,[M+Na]+,249.4,32859911.0,Predicted,AllCCS
3241,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,830.100439051,[M+Na-2H]-,251.8,32859911.0,Predicted,AllCCS
3242,YMDB00312,HMDB01206,ZSLZBFCDCINBPY-ZSJPKINUSA-N,Acetyl-CoA,C23H38N7O17P3S,854.123974051,[M+HCOO]-,256.1,32859911.0,Predicted,AllCCS
3244,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,226.070998467,[M+H]+,151.0,32859911.0,Predicted,AllCCS
3245,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,208.060433467,[M+H-H2O]+,147.3,32859911.0,Predicted,AllCCS
3246,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,248.052940467,[M+Na]+,155.5,32859911.0,Predicted,AllCCS
3247,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,243.097545467,[M+NH4]+,154.5,32859911.0,Predicted,AllCCS
3248,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,224.056446467,[M-H]-,146.9,32859911.0,Predicted,AllCCS
3249,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,246.038388467,[M+Na-2H]-,147.3,32859911.0,Predicted,AllCCS
3250,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,270.061923467,[M+HCOO]-,147.7,32859911.0,Predicted,AllCCS
3251,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,226.070998467,[M+H]+,149.7,30932474.0,Predicted,DeepCCS
3252,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,224.056446467,[M-H]-,147.3,30932474.0,Predicted,DeepCCS
3253,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,112.0282232335,[M-2H]-,180.5,30932474.0,Predicted,DeepCCS
3254,YMDB00314,HMDB0304170,OIUJHGOLFKDBSU-HTQZYQBOSA-N,4-amino-4-deoxychorismate,C10H11NO5,248.052940467,[M+Na]+,155.6,30932474.0,Predicted,DeepCCS
3255,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,116.070604537,[M+H]+,124.1,31661259.0,Predicted,DarkChem
3256,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,114.056052537,[M-H]-,118.6,31661259.0,Predicted,DarkChem
3257,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,116.070604537,[M+H]+,127.5,30932474.0,Predicted,DeepCCS
3258,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,114.056052537,[M-H]-,125.3,30932474.0,Predicted,DeepCCS
3259,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,57.0280262685,[M-2H]-,161.0,30932474.0,Predicted,DeepCCS
3260,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,138.052546537,[M+Na]+,135.8,30932474.0,Predicted,DeepCCS
3262,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,98.060039537,[M+H-H2O]+,123.3,32859911.0,Predicted,AllCCS
3263,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,133.097151537,[M+NH4]+,131.4,32859911.0,Predicted,AllCCS
3264,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,138.052546537,[M+Na]+,132.5,32859911.0,Predicted,AllCCS
3265,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,114.056052537,[M-H]-,126.7,32859911.0,Predicted,AllCCS
3266,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,136.037994537,[M+Na-2H]-,130.0,32859911.0,Predicted,AllCCS
3267,YMDB00315,HMDB12880,ARJPPNFIEQKVBB-UHFFFAOYSA-N,Acetamidopropanal,C5H9NO2,160.061529537,[M+HCOO]-,133.6,32859911.0,Predicted,AllCCS
3268,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,140.034219031,[M+H]+,129.4,31661259.0,Predicted,DarkChem
3269,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,138.019667031,[M-H]-,127.1,31661259.0,Predicted,DarkChem
3270,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,140.034219031,[M+H]+,128.4,32859911.0,Predicted,AllCCS
3271,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,138.019667031,[M-H]-,122.1,32859911.0,Predicted,AllCCS
3272,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,140.034219031,[M+H]+,130.4,30932474.0,Predicted,DeepCCS
3273,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,138.019667031,[M-H]-,127.2,30932474.0,Predicted,DeepCCS
3274,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,69.0098335155,[M-2H]-,164.6,30932474.0,Predicted,DeepCCS
3275,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,162.016161031,[M+Na]+,139.3,30932474.0,Predicted,DeepCCS
3277,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,122.023654031,[M+H-H2O]+,123.8,32859911.0,Predicted,AllCCS
3278,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,157.060766031,[M+NH4]+,132.7,32859911.0,Predicted,AllCCS
3279,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,162.016161031,[M+Na]+,134.0,32859911.0,Predicted,AllCCS
3281,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,160.001609031,[M+Na-2H]-,123.6,32859911.0,Predicted,AllCCS
3282,YMDB00316,HMDB01232,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,C6H5NO3,184.025144031,[M+HCOO]-,125.3,32859911.0,Predicted,AllCCS
3284,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,150.058325291,[M+H]+,133.7,31661259.0,Predicted,DarkChem
3285,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,148.043773291,[M-H]-,129.4,31661259.0,Predicted,DarkChem
3287,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,148.043773291,[M-H]-,135.0,32859911.0,Predicted,AllCCS
3288,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,150.058325291,[M+H]+,128.7,30932474.0,Predicted,DeepCCS
3289,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,148.043773291,[M-H]-,125.5,30932474.0,Predicted,DeepCCS
3290,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,74.0218866455,[M-2H]-,162.4,30932474.0,Predicted,DeepCCS
3291,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,172.040267291,[M+Na]+,137.4,30932474.0,Predicted,DeepCCS
3293,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,132.047760291,[M+H-H2O]+,129.8,32859911.0,Predicted,AllCCS
3294,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,167.084872291,[M+NH4]+,137.3,32859911.0,Predicted,AllCCS
3295,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,172.040267291,[M+Na]+,138.4,32859911.0,Predicted,AllCCS
3297,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,170.02571529099998,[M+Na-2H]-,137.8,32859911.0,Predicted,AllCCS
3298,YMDB00318,HMDB00696,FFEARJCKVFRZRR-BYPYZUCNSA-N,Methionine,C5H11NO2S,194.049250291,[M+HCOO]-,140.9,32859911.0,Predicted,AllCCS
3299,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,224.014091015,[M+H]+,146.1,32859911.0,Predicted,AllCCS
3300,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,206.003526015,[M+H-H2O]+,142.3,32859911.0,Predicted,AllCCS
3301,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,245.996033015,[M+Na]+,150.7,32859911.0,Predicted,AllCCS
3302,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,241.040638015,[M+NH4]+,149.7,32859911.0,Predicted,AllCCS
3303,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,221.999539015,[M-H]-,143.3,32859911.0,Predicted,AllCCS
3304,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,243.981481015,[M+Na-2H]-,144.3,32859911.0,Predicted,AllCCS
3305,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,268.005016015,[M+HCOO]-,145.6,32859911.0,Predicted,AllCCS
3306,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,224.014091015,[M+H]+,136.5,30932474.0,Predicted,DeepCCS
3307,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,221.999539015,[M-H]-,133.7,30932474.0,Predicted,DeepCCS
3308,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,110.9997695075,[M-2H]-,170.4,30932474.0,Predicted,DeepCCS
3309,YMDB00319,HMDB0304185,OCYMERZCMYJQQO-UHFFFAOYSA-N,4-methyl-5-(2-phosphonooxyethyl)thiazole,C6H10NO4PS,245.996033015,[M+Na]+,145.8,30932474.0,Predicted,DeepCCS
3310,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,336.085996603,[M+H]+,177.7,31661259.0,Predicted,DarkChem
3311,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,334.07144460300003,[M-H]-,172.8,31661259.0,Predicted,DarkChem
3312,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,336.085996603,[M+H]+,170.0,32859911.0,Predicted,AllCCS
3313,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,334.07144460300003,[M-H]-,170.0,32859911.0,Predicted,AllCCS
3314,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,336.085996603,[M+H]+,171.7,30932474.0,Predicted,DeepCCS
3315,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,334.07144460300003,[M-H]-,169.4,30932474.0,Predicted,DeepCCS
3316,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,167.03572230150002,[M-2H]-,202.7,30932474.0,Predicted,DeepCCS
3317,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,358.067938603,[M+Na]+,177.9,30932474.0,Predicted,DeepCCS
3319,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,318.075431603,[M+H-H2O]+,167.4,32859911.0,Predicted,AllCCS
3320,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,353.112543603,[M+NH4]+,172.3,32859911.0,Predicted,AllCCS
3321,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,358.067938603,[M+Na]+,173.0,32859911.0,Predicted,AllCCS
3323,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,356.05338660300004,[M+Na-2H]-,170.3,32859911.0,Predicted,AllCCS
3324,YMDB00320,HMDB01550,FHXAGOICBFGEBF-BQBZGAKWSA-N,S-Formylglutathione,C11H17N3O7S,380.076921603,[M+HCOO]-,170.6,32859911.0,Predicted,AllCCS
3325,YMDB00321,HMDB01426,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,CH2O,31.017840686,[M+H]+,111.2,30932474.0,Predicted,DeepCCS
3326,YMDB00321,HMDB01426,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,CH2O,29.003288686,[M-H]-,109.4,30932474.0,Predicted,DeepCCS
3327,YMDB00321,HMDB01426,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,CH2O,14.501644343,[M-2H]-,144.6,30932474.0,Predicted,DeepCCS
3328,YMDB00321,HMDB01426,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,CH2O,52.999782686,[M+Na]+,118.0,30932474.0,Predicted,DeepCCS
