,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
74,YMDB00097,HMDB00045,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Adenosine-5'-monophosphate,C10H14N5O7P,370.0489,[M+Na]+,177.1,8,Experimental,CCS Compendium
75,YMDB00097,HMDB00045,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Adenosine-5'-monophosphate,C10H14N5O7P,346.0558,[M-H]-,174.1,"7, 8",Experimental,CCS Compendium
76,YMDB00097,HMDB00045,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Adenosine-5'-monophosphate,C10H14N5O7P,348.0686,[M+H]+,171.5,"7, 8",Experimental,CCS Compendium
77,YMDB00098,HMDB00300,ISAKRJDGNUQOIC-UHFFFAOYSA-N,Uracil,C4H4N2O2,113.0351,[M+H]+,126.2,7,Experimental,CCS Compendium
78,YMDB00098,HMDB00300,ISAKRJDGNUQOIC-UHFFFAOYSA-N,Uracil,C4H4N2O2,111.0201,[M-H]-,113.5,8,Experimental,CCS Compendium
79,YMDB00101,HMDB00134,VZCYOOQTPOCHFL-OWOJBTEDSA-N,Fumaric Acid,C4H4O4,139.0007,[M+Na]+,132.8,"7, 8",Experimental,CCS Compendium
80,YMDB00104,HMDB00719,UKAUYVFTDYCKQA-VKHMYHEASA-N,Homoserine,C4H9NO3,118.0509,[M-H]-,120.8,8,Experimental,CCS Compendium
81,YMDB00104,HMDB00719,UKAUYVFTDYCKQA-VKHMYHEASA-N,Homoserine,C4H9NO3,120.0654,[M+H]+,126.1,8,Experimental,CCS Compendium
82,YMDB00107,HMDB00267,ODHCTXKNWHHXJC-VKHMYHEASA-N,Pyroglutamate,C5H7NO3,128.035,[M-H]-,124.6,8,Experimental,CCS Compendium
83,YMDB00107,HMDB00267,ODHCTXKNWHHXJC-VKHMYHEASA-N,Pyroglutamate,C5H7NO3,130.0492,[M+H]+,130.6,8,Experimental,CCS Compendium
84,YMDB00109,HMDB00538,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Adenosine-5'-triphosphate,C10H16N5O13P3,527.9701,[M+Na-2H]-,193.5,8,Experimental,CCS Compendium
85,YMDB00109,HMDB00538,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Adenosine-5'-triphosphate,C10H16N5O13P3,505.9893,[M-H]-,188.3,8,Experimental,CCS Compendium
86,YMDB00109,HMDB00538,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Adenosine-5'-triphosphate,C10H16N5O13P3,508.0034,[M+H]+,196.7,8,Experimental,CCS Compendium
87,YMDB00109,HMDB00538,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Adenosine-5'-triphosphate,C10H16N5O13P3,529.9854,[M+Na]+,204.2,"7, 8",Experimental,CCS Compendium
88,YMDB00110,HMDB00902,BAWFJGJZGIEFAR-NNYOXOHSSA-O,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,684.0861,[M+Na-2H]-,230.6,8,Experimental,CCS Compendium
89,YMDB00110,HMDB00902,BAWFJGJZGIEFAR-NNYOXOHSSA-O,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,662.107,[M-H]-,225.2,"7, 8",Experimental,CCS Compendium
90,YMDB00110,HMDB00902,BAWFJGJZGIEFAR-NNYOXOHSSA-O,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,664.1143,[M+H]+,227.7,"7, 8",Experimental,CCS Compendium
91,YMDB00110,HMDB00902,BAWFJGJZGIEFAR-NNYOXOHSSA-O,beta-Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,686.0963,[M+Na]+,223.5,"7, 8",Experimental,CCS Compendium
92,YMDB00112,HMDB00187,MTCFGRXMJLQNBG-REOHCLBHSA-N,L-Serine,C3H7NO3,104.0348,[M-H]-,136.2,7,Experimental,CCS Compendium
93,YMDB00119,HMDB01548,KTVPXOYAKDPRHY-SOOFDHNKSA-N,Ribose-5-phosphate,C5H11O8P,253.0089,[M+Na]+,153.4,7,Experimental,CCS Compendium
94,YMDB00125,HMDB00224,SUHOOTKUPISOBE-UHFFFAOYSA-N,O-Phosphoethanolamine,C2H8NO4P,140.0126,[M-H]-,123.4,8,Experimental,CCS Compendium
95,YMDB00126,HMDB00929,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-Tryptophan,C11H12N2O2,227.0786,[M+Na]+,147.2,8,Experimental,CCS Compendium
96,YMDB00126,HMDB00929,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-Tryptophan,C11H12N2O2,203.084,[M-H]-,149.1,"7, 8",Experimental,CCS Compendium
97,YMDB00126,HMDB00929,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-Tryptophan,C11H12N2O2,205.0964,[M+H]+,151.3,"7, 8",Experimental,CCS Compendium
98,YMDB00127,HMDB00296,DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,C9H12N2O6,245.0774,[M+H]+,161.1,7,Experimental,CCS Compendium
99,YMDB00127,HMDB00296,DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,C9H12N2O6,243.0631,[M-H]-,152.0,"7, 8",Experimental,CCS Compendium
100,YMDB00127,HMDB00296,DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,C9H12N2O6,267.0581,[M+Na]+,162.5,"7, 8",Experimental,CCS Compendium
101,YMDB00131,HMDB00207,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic Acid (18:1),C18H34O2,281.2486,[M-H]-,176.2,6,Experimental,CCS Compendium
102,YMDB00131,HMDB00207,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic Acid (18:1),C18H34O2,305.2456,[M+Na]+,180.2,7,Experimental,CCS Compendium
