Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
B4	20241010_hplc_growth_experiment	1	0	0	1	0.14066666666666666	0.12483333333333335	0.3146333333333333	0.1832	
B5	20241010_hplc_growth_experiment	1	0	0	1	0.15793333333333334	0.13383333333333333	0.28669999999999995	0.18280555555555555	
B6	20241010_hplc_growth_experiment	1	0	0	1	0.14563333333333334	0.12983333333333333	0.2408	0.17312222222222223	
B7	20241010_hplc_growth_experiment	1	0	0	1	-0.003266666666666654	-0.011800000000000005	0.012433333333333324	-0.0009944444444444436	
B8	20241010_hplc_growth_experiment	1	0	0	1	0.16113333333333335	0.15053333333333332	0.3129	0.20407222222222224	
B9	20241010_hplc_growth_experiment	1	0	0	1	0.18413333333333334	0.18413333333333334	0.4481000000000001	0.29058888888888895	
B10	20241010_hplc_growth_experiment	1	0	0	1	0.13826666666666668	0.13826666666666668	0.35253333333333337	0.23251111111111114	
B11	20241010_hplc_growth_experiment	1	0	0	1	0.14646666666666666	0.14519999999999994	0.2952333333333333	0.1890277777777778	
B12	20241010_hplc_growth_experiment	1	0	0	1	0.04856666666666665	0.0008333333333333527	0.04856666666666665	0.013044444444444447	
C1	20241010_hplc_growth_experiment	1	0	0	1	0.014433333333333326	-0.009799999999999977	0.014433333333333326	-0.002483333333333334	
C2	20241010_hplc_growth_experiment	1	0	0	1	0.17373333333333335	0.14196666666666666	0.2511	0.17923333333333336	
C3	20241010_hplc_growth_experiment	1	0	0	1	0.1554333333333333	0.15536666666666668	0.3358	0.20455	
C4	20241010_hplc_growth_experiment	1	0	0	1	0.1670333333333333	0.16356666666666667	0.2822666666666667	0.1995555555555556	
C5	20241010_hplc_growth_experiment	1	0	0	1	0.1904333333333333	0.15336666666666668	0.2811	0.1996388888888889	
C6	20241010_hplc_growth_experiment	1	0	0	1	0.1980333333333333	0.19213333333333332	0.2106	0.2000555555555556	
C7	20241010_hplc_growth_experiment	1	0	0	1	-0.00016666666666667607	-0.02250000000000002	-0.00016666666666667607	-0.014744444444444449	
C8	20241010_hplc_growth_experiment	1	0	0	1	0.14103333333333334	0.1234666666666667	0.3095	0.18263888888888893	
C9	20241010_hplc_growth_experiment	1	0	0	1	0.15333333333333332	0.15333333333333332	0.31520000000000004	0.2105888888888889	
C10	20241010_hplc_growth_experiment	1	0	0	1	0.17536666666666664	0.17536666666666664	0.23593333333333336	0.21084444444444447	
C11	20241010_hplc_growth_experiment	1	0	0	1	0.14696666666666666	0.14696666666666666	0.2595333333333334	0.19026111111111113	
C12	20241010_hplc_growth_experiment	1	0	0	1	-0.03363333333333335	-0.03363333333333335	0.0029333333333333433	-0.012722222222222225	
D1	20241010_hplc_growth_experiment	1	0	0	1	-0.017733333333333337	-0.017733333333333337	0.00586666666666666	-0.003277777777777779	
D2	20241010_hplc_growth_experiment	1	0	0	1	0.14326666666666665	0.14326666666666665	0.3073666666666667	0.2029888888888889	
D3	20241010_hplc_growth_experiment	1	0	0	1	0.14126666666666665	0.14126666666666665	0.30296666666666666	0.19812222222222226	
D4	20241010_hplc_growth_experiment	1	0	0	1	0.1338666666666667	0.1338666666666667	0.32319999999999993	0.1988388888888889	
D5	20241010_hplc_growth_experiment	1	0	0	1	0.14016666666666666	0.14016666666666666	0.3074	0.22132222222222225	
D6	20241010_hplc_growth_experiment	1	0	0	1	0.1654666666666667	0.1654666666666667	0.32430000000000003	0.22107222222222228	
D7	20241010_hplc_growth_experiment	1	0	0	1	-0.003333333333333327	-0.003333333333333327	0.014066666666666672	0.006405555555555563	
D8	20241010_hplc_growth_experiment	1	0	0	1	0.15206666666666668	0.15206666666666668	0.32330000000000003	0.21392222222222224	
D9	20241010_hplc_growth_experiment	1	0	0	1	0.15886666666666666	0.15886666666666666	0.3467	0.23693888888888892	
D10	20241010_hplc_growth_experiment	1	0	0	1	0.14883333333333332	0.14883333333333332	0.29346666666666665	0.20592222222222223	
D11	20241010_hplc_growth_experiment	1	0	0	1	0.14803333333333335	0.14803333333333335	0.2858666666666667	0.19840555555555558	
D12	20241010_hplc_growth_experiment	1	0	0	1	0.009733333333333344	-0.007633333333333325	0.015600000000000003	0.0028888888888888987	
E1	20241010_hplc_growth_experiment	1	0	0	1	0.015700000000000006	-0.006133333333333324	0.02233333333333332	0.006838888888888897	
E2	20241010_hplc_growth_experiment	1	0	0	1	0.1456	0.14083333333333334	0.3037666666666667	0.1901388888888889	
E3	20241010_hplc_growth_experiment	1	0	0	1	0.1502	0.1472333333333333	0.25506666666666666	0.1857388888888889	
E4	20241010_hplc_growth_experiment	1	0	0	1	0.13926666666666665	0.13926666666666665	0.32780000000000004	0.20155	
E5	20241010_hplc_growth_experiment	1	0	0	1	0.1655333333333333	0.1655333333333333	0.2432666666666667	0.1949777777777778	
E6	20241010_hplc_growth_experiment	1	0	0	1	0.16283333333333333	0.16116666666666662	0.22856666666666664	0.18512777777777778	
E7	20241010_hplc_growth_experiment	1	0	0	1	0.0013333333333333253	-0.012333333333333365	0.0013333333333333253	-0.007855555555555567	
E8	20241010_hplc_growth_experiment	1	0	0	1	0.1530333333333333	0.1530333333333333	0.3012666666666667	0.19816111111111112	
E9	20241010_hplc_growth_experiment	1	0	0	1	0.15743333333333331	0.15246666666666664	0.2917666666666667	0.19922777777777778	
E10	20241010_hplc_growth_experiment	1	0	0	1	0.12486666666666665	0.12486666666666665	0.3164666666666667	0.20635555555555557	
E11	20241010_hplc_growth_experiment	1	0	0	1	0.12706666666666666	0.12706666666666666	0.32266666666666666	0.20643888888888892	
E12	20241010_hplc_growth_experiment	1	0	0	1	-0.007633333333333339	-0.007633333333333339	0.01206666666666667	0.003038888888888881	
F1	20241010_hplc_growth_experiment	1	0	0	1	-0.017899999999999985	-0.027599999999999986	-0.008033333333333337	-0.017911111111111107	
