ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Coenzyme A [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	D-(+)-Turanose [[M+Na]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Tryptophan [[M+NH4]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Pidolic Acid [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00036-Positive-A4.d.DeMP	6816.742523934972	7904.632251412935	747.5024523056717	46.48460586053324	1830.1439178316396	1588.7238680398377	1537.7407519347369	5364.473466647022	30423.42478401158	5657.626384251353	2714.101180889199	9367.397832604876	659.7815025366009	2018.3315963960563	32.23932341940209	4256.340443068504	2782.3285862651433	2782.3285862651433	582.5570766715215	4.498510244567734	1036.9066113728625	1649.4537563415022	25592.774533053263	620.7944137503472	548.8182498372635	189.68718197927276	147392.93841155435	2861.052515545078	333.63950980544024	38.23733707882573	113.96225952904925	201.68320929812003	1021.9115772243034	221.1767536912469	374.8758537139778	3459.3543780725868	1522.7457177861777	2.249255122283867	1755.168747088844	2741.8419940640333	286.405152237479	2782.3285862651433	810.4815957296199	505.332650806442	High arginine supplementation without caffeine treatment.
Inj00037-Positive-E7.d.DeMP	7942.5028830169085	4291.123008721438	741.6343386034716	113.58363744377493	1613.5557907453908	2213.210582544144	2350.1790865204607	4658.599482804239	19240.734113453578	7033.833783466709	638.0727868165003	5081.197427999461	118.59468027217676	18.37382370414006	248.92631931816098	53.4511235029529	482.73045913604346	482.73045913604346	13.362780875738226	49.12134638242859	3270.540619336931	11739.202999336032	27876.43125439941	868.5807569229847	905.3284043312649	105.23189939643854	72339.41427080889	1793.953332567857	225.49692727808258	2.5055214142009175	4.175869023668196	410.9055119289505	3992.1307866267953	53.4511235029529	816.7999810294991	288.97013643783913	3178.6715008162305	45.09938545561651	17052.578745051444	469.36767826030524	105.23189939643854	482.73045913604346	674.8204342247805	484.4008067455107	Low arginine supplementation with caffeine treatment.
Inj00038-Positive-E5.d.DeMP	5418.556822361162	4030.375873482898	607.3291651342405	2.2361162191982347	1376.5531445384331	2064.3824935638104	1864.9209268113277	4864.0	13558.914306730416	4174.381757999265	1674.403824935638	2669.922765722692	1297.8418536226554	1227.180581095991	219.33619534843035	13526.714233173961	692.463390181777	779.5966826936816	308.58403824935635	5.366678926075763	1118.9525560867967	4680.638470025745	10042.84516366311	449.01213681500553	665.4681868333946	188.728208900331	12331.733725634424	2991.9235012872377	385.5064361897756	138.63920559029054	40.25009194556822	576.0235380654652	1577.8036042662743	110.91136447223244	1124.3192350128725	39.355645457888926	1838.9819786686282	142.21699154100773	6220.875321809489	648.7438980770894	182.46708348657594	647.9661192769938	1425.7477013607943	118.06693637366679	Negative control with alanine supplementation with caffeine.
Inj00039-Positive-G3.d.DeMP	7534.525766460763	6101.5635056313395	427.0839478450687	138.96164273167906	1756.7811347179243	1589.7721879486585	2266.732117219499	4683.8997742769625	22574.25511788845	6352.714364513365	330.1932611697695	1310.5740250290467	266.4493883570727	192.5064958943444	259.8508305492966	6848.641694996146	18.485723115682077	104.09291226144575	10.19901965003149	20.39803930006298	1255.7542944101274	10332.881782938153	15433.666485410153	393.9371339824663	590.2682622455725	498.4770853952891	13370.914761191285	3145.122684578461	330.1932611697695	1.9123161843809044	72.66801500647438	187.40698606932864	3101.776851065827	80.31727974399799	1102.7689996596548	122.38823580037788	2966.6398407029096	3.824632368761809	14796.227757283184	65.32878947604394	498.4770853952891	69.3948930150623	1800.126968230558	121.11335834412395	Low arginine supplementation with caffeine treatment.
Inj00047-Positive-A6.d.DeMP	3332.2213465821483	5102.211801561468	478.0487040798845	2.5213539244719647	860.2859590298343	278.3574732617049	1053.441739374743	6567.622702464573	20757.80258939279	3074.0347047162195	967.1913654274456	3012.513668959103	115.98228052571038	11.093957267676645	197.67414767860203	35.2989549426075	507.2964096037593	507.2964096037593	8.068332558310287	28.836050378026304	1986.826892483908	13065.65603661372	24955.352602853716	137.16165349127488	82.70040872268044	460.90349739347516	145164.43084754888	1112.4213514770308	345.9297584375536	1.5128123546831789	99.8456154090898	549.6551555348883	1680.2302552681172	97.82853226951222	620.2530654201033	3911.1242076409117	1273.7880026432365	461.9120389632639	17249.086468097605	484.0999534986172	557.7234880931986	507.2964096037593	1869.8360703884089	690.8509753053183	High arginine supplementation with caffeine treatment.
Inj00049-Positive-C1.d.DeMP	5595.024072869226	7008.02081977879	1052.2316200390371	16.614183474300585	509.50162654521796	1875.8204294079376	1076.757319453481	4864.0	21708.408588158753	4875.867273910215	2428.8353936239428	2646.402081977879	291.93493819128173	1382.1418347430058	271.96784692004627	2890.076772934288	3014.287573194535	3014.287573194535	6.329212752114509	27.690305790500975	1306.9824333116462	1303.8178269355888	18791.43266102798	445.4183474300586	271.3649967469096	52.2160052049447	16333.324658425505	1101.2830188679245	398.7404033832141	1.1867273910214704	3.955757970071568	519.7865972674041	1331.5081327260898	59.336369551073524	1047.4847104749513	390.8288874430709	1378.1860767729343	116.2992843201041	2404.309694209499	3007.9583604424206	52.2160052049447	3014.287573194535	1371.0657124268055	905.0774235523747	Low arginine supplementation without caffeine treatment.
Inj00050-Positive-B9.d.DeMP	10757.51292717458	2929.4051851635254	969.5797291281981	97.30240620913533	8203.540034994976	4841.871062955469	1373.4277690581491	2529.8625614375187	9677.714543225416	8423.116261396122	3005.180510352941	4180.559134029664	149.82848389725262	1332.9568567410752	433.1248701167705	3719.8796002076515	2613.387635794033	2613.387635794033	153.27281686040786	5.16649944473285	935.1363994966457	1363.0947701686835	21198.14722173888	556.2597735495701	2535.0290608822515	5.16649944473285	31699.918426399185	1633.4749077763693	112.80190454333388	87.83049056045844	107.63540509860103	299.65696779450525	1447.4809277659867	396.9593740036406	1004.0230587597504	160.16148278671832	1115.1027968215067	6.027582685521658	2505.752230695432	2529.0014781967297	3.874874583549637	2584.9718888480024	434.84703659834815	903.2763195874599	Low arginine supplementation without caffeine treatment.
Inj00051-Positive-H8.d.DeMP	2961.0731707317073	1321.6158536585367	770.0914634146342	134.0	2110.9085365853657	511.4878048780488	2026.75	966.189024390244	4789.682926829269	2299.2439024390246	961.2865853658536	415.4817073170732	4.085365853658536	610.7621951219512	441.50462260810343	54.74390243902439	3712.6783536585367	3713.189024390244	3.2682926829268295	13.073170731707318	206.3109756097561	415.890243902439	9423.30487804878	230.8231707317073	812.579268292683	163.41463414634146	13441.670731707318	1227.2439024390244	107.44512195121952	201.40853658536585	87.01829268292683	122.5609756097561	1117.3475609756097	26.146341463414636	183.84146341463415	199.77439024390245	600.5487804878048	1.225609756097561	440.8109756097561	3661.3048780487807	170.76829268292684	3698.0731707317073	1006.2256097560976	1282.3963414634147	Negative control with alanine supplementation without caffeine.
Inj00052-Positive-F1.d.DeMP	9994.420634920634	8835.611111111111	606.8174603174602	130.83333333333331	3132.523809523809	1118.936507936508	2963.063492063492	6905.507936507936	33291.47619047619	7613.253968253968	1528.8809523809523	4371.079365079365	16.198412698412696	604.3253968253968	73.51587301587301	10261.071428571428	180.67460317460316	180.67460317460316	616.7857142857142	7.476190476190475	777.5238095238095	10111.547619047618	20854.833333333332	1006.7936507936507	2049.722222222222	57.317460317460316	20128.396825396823	2016.079365079365	525.8253968253968	168.2142857142857	68.53174603174602	383.77777777777777	1729.4920634920634	497.16666666666663	785.0	480.9682539682539	1700.8333333333333	178.2232219489138	14245.880952380952	97.19047619047619	128.34126984126982	157.0	2480.8492063492063	127.09523809523809	Low arginine supplementation with caffeine treatment.
Inj00060-Positive-C6.d.DeMP	5232.69972634794	1949.5858245060156	716.5225490163091	87.19586575330744	3240.4637501147627	3149.4767597634855	1760.9773757570135	4867.8039837933375	8416.296607493154	4376.853348356237	747.7993269495606	2734.3486162857826	794.2406032746918	910.8176846622658	159.22723311473536	3894.4327432645687	316.55890393048577	326.0367154254105	162.07057656321277	5.686686896954834	1843.4343357628586	10454.973860051461	16694.21716716041	649.2300874023435	723.1570170627564	285.2821259972342	11530.705464725417	3822.401375903141	2183.687768430656	1.4216717242387085	19.90340413934192	723.1570170627564	2258.5624792405615	527.914100267307	1048.2459513386743	107.09926989264937	2596.920349609374	137.42826667640847	14080.236756860168	248.31866116702773	296.6554997911438	309.9244358840384	552.5564101541113	210.40741518732884	Low arginine supplementation with caffeine treatment.
