ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Lysine [[M+H]]	L-Threonine [[M+NH4]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N-Acetylputrescine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Oleic acid [[M+Na]]	P-Hydroxybenzoic Acid [[M-H2O+H]]	Palatinose [[M+K]]	Phenylethyl alcohol [[M+H]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Sucrose [[M+K]]	Tetracosanoic acid [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+K]]	d-Desthiobiotin [[M+Na]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00047-Positive-A6.d.DeMP	3626.8269230769233	5804.079959514171	363.2611336032389		911.6234817813765	205.9251012145749		7473.461538461539	3626.8269230769233	23763.525303643724	3394.2935222672068	1004.174089068826	3169.858299595142	112.21761133603239		40.490890688259114		493.9888663967611	37.02024291497976		2279.0587044534414	775.1113360323886	28608.5495951417	100.64878542510122	72.8836032388664	481.2631578947369	512.498987854251	493.9888663967611	166515.89574898785	1249.4331983805669	40.490890688259114	33.54959514170041		1927.3663967611337	35.86336032388664		202.45445344129556	571.5	17.35323886639676	4393.84008097166	1461.1427125506073	520.5971659919029	739.247975708502	378.3006072874494		428.04655870445345	19786.16295546559	74.04048582995952			562.2449392712551		42.804655870445345	372.5161943319838	High arginine supplementation with caffeine treatment.
Inj00048-Positive-C12.d.DeMP	3199.980997624703	5183.519002375297	303.0285035629454	839.8218527315914	658.8705463182898	1003.4572446555819	1363.6282660332542	6638.9216152019	3199.980997624703	18601.621140142517	2170.5498812351543	1226.832541567696	26032.745843230405	1803.4524940617578	656.2731591448932	14197.318289786223	27.705463182897862		547.1828978622328	364.5	678.7838479809976	207.79097387173397	5992.172209026128		470.99287410926365	107.35866983372922	62.33729216152019		22416.317102137768	2006.0486935866984	130.7351543942993	361.90261282660333	132.4667458432304	1940.2482185273159	354.9762470308789	27.705463182897862	90.04275534441805	3126.3883610451308	83.98218527315915	81.38479809976248	1176.6163895486936	167.9643705463183	496.9667458432304		27.705463182897862	601.728028503563	2810.372921615202	25.108076009501186	27.705463182897862		107.35866983372922	27.705463182897862	67.53206650831353	46.75296912114014	Negative control with alanine supplementation with caffeine.
Inj00049-Positive-C1.d.DeMP	4036.0499716546688	5135.521641649959	703.3128301715905	5.817310423255504	310.0626455595184	1292.606376047373	761.4859344041455	3538.0881994239976	4036.0499716546688	15940.012290762408	3580.554565513763	1753.337361569209	1846.9960593836227	193.13470605208275	1005.2312411385511	2119.827918234306	1148.3370775506366	2148.3327393082577			945.3129437790194	19.778855439068714	13796.91513083508	251.30781028463778	132.6346776502255	15.706738142789861	320.5338043213783	2148.3327393082577	11971.443120017502	756.2503550232155	293.1924453320774		188.48085771347834	975.5629579799481		1148.3370775506366	18.033662312092062	569.5146904367139	34.32213149720747	257.70685175021885	1009.30335843483	85.51446322185592	205.3510579409193	172.19238852836293	1148.3370775506366	191.3895129251061	1645.7171187389822		684.6974368171728		15.706738142789861	1148.3370775506366	111.69236012650569	524.7214001776465	Low arginine supplementation without caffeine treatment.
Inj00050-Positive-B9.d.DeMP	10069.722770573846	2761.0267370125216	378.83665763081217	92.061381316735	7698.938526045537	4354.584806530518	1226.9419492301142	2373.228351996894	10069.722770573846	9131.185502636867	7914.834685770625	2795.2442415727237	3792.440088755765	141.75823317798134	1256.271238853145	3482.0384402453574	612.6562721255285	2378.9312694235946	8.147024895286282	94.50548878532089	848.1052915993021		20051.4576722786	474.15684890566166	2366.7107320806654		251.74306926434616	2378.9312694235946	29983.49572212211	1454.2439438086017	106.72602612825031	68.43500912040479	30.14399211255925	1369.5148848976241	261.5194991386897	612.6562721255285	4.073512447643141	910.0226808034779	63.54679418323301	128.72299334552326	1055.0397239395736	27.699884643973363	891.2845235443194	102.65251368060717	612.6562721255285	307.9575410418215	2336.566739968106	28.51458713350199	521.4095932983221	11.405834853400796		612.6562721255285		714.4940833166071	Low arginine supplementation without caffeine treatment.
Inj00051-Positive-H8.d.DeMP	4498.136045572619	2009.0588133332146	1099.7811033686187	185.49014620918015	3181.532001027053	736.3206817425225	3072.4938745392237	1536.5602652192897	4480.589680390669	7319.340904470352	3496.739918402788	1453.841686504385	498.81809588684933	92.74507310459008	923.6907956497687	83.97189051361534	287.00840190474497	5666.22264197097	50.75912784778241		316.46122917444586		14454.444974530234	320.84782046993325	1237.6454012267932	191.75670520273354	161.05056613432194	5666.22264197097	20573.739831735114	1864.927956481487	149.77075994592587	115.93134138073759	22.55961237679218	1703.877390347165		287.00840190474497	111.54475008525023	240.6358653524499	60.78562223746782	280.74184291119155	908.0243981658853		75.1987079226406	326.4877235641313	287.00840190474497	45.7458806529397	658.6153502224606	20.05298877937083	268.8353808234402	14.413085685172781	191.75670520273354	287.00840190474497	15.666397483883458	1933.2334495112189	Negative control with alanine supplementation without caffeine.
Inj00060-Positive-C6.d.DeMP	3983.466666666667	1503.3333333333335	400.40000000000003	67.46666666666667	2403.1333333333337	2274.8	1258.4	3910.866666666667	3983.466666666667	6489.266666666667	3363.8	543.4000000000001	1974.1333333333334	614.5333333333334	698.1333333333334	3004.4666666666667		203.13333333333335	55.00000000000001	45.46666666666667	1391.8666666666668	160.60000000000002	12910.333333333334	427.53333333333336	527.2666666666667	143.73333333333335	176.0	203.13333333333335	8856.466666666667	2890.8	1671.2666666666669		133.46666666666667	1747.5333333333335	222.20000000000002		55.00000000000001	737.7333333333333	138.60000000000002	65.26666666666667	2009.3333333333335	88.0	266.20000000000005	112.2		232.4666666666667	10894.400000000001				143.73333333333335			140.8	Low arginine supplementation with caffeine treatment.
Inj00061-Positive-D5.d.DeMP	4638.58407079646	5666.159292035398	258.1017699115044		1787.3849557522124	2500.0840707964603	1638.0	3395.9911504424776	4638.58407079646	22000.659292035398	3484.575221238938	1457.2079646017698	2613.6327433628317	146.56637168141592	671.2256637168141	2242.787610619469	583.0442477876106	1104.4823008849557	97.84513274336283	101.46902654867256	504.1238938053097		13993.061946902655	329.77433628318585	1131.8628318584072	95.02654867256636	23.75663716814159	1108.5088495575221	19117.650442477876	1051.3318584070796	177.97345132743362	4.831858407079646	25.36725663716814	833.8982300884956	110.32743362831859	583.0442477876106	82.54424778761062	530.2964601769911		631.7654867256637	1119.3805309734514		226.6946902654867	76.10176991150442	583.0442477876106	130.86283185840708	2565.314159292035		441.71238938053096	25.76991150442478	122.80973451327434	583.0442477876106	2.415929203539823	357.96017699115043	Baseline condition with no supplementation or treatment.
Inj00062-Positive-B3.d.DeMP	9787.466497389618	7479.37393816556	459.3104192855875		1972.2650918569575	2227.309319651216	1098.6520581906516	4673.887432428717	9787.466497389618	30314.487672848776	8044.856615175454	1626.0512079733487	3325.9613778418675	565.4826770098941	963.6286434760442	7905.217015342399	46.16185118448116		71.55086933594579	410.8404755418823	672.8089810138129	160.41243286607204	15790.815243931393	391.2216887884778	961.3205509168201	507.78036302929274			17296.84563882509	2038.045729794843	413.1485681011064	156.95029402723594		2823.951246210635		46.16185118448116	47.31589746409319	558.558399332222	317.362726893308	133.86936843499535	2986.671771635931	197.34191381365696	511.24250186812884	518.166779545801	46.16185118448116	413.1485681011064	17434.177146098922		46.16185118448116		538.9396125788176	46.16185118448116	6.9242776776721735	206.5742840505532	Caffeine treatment without arginine supplementation.
Inj00063-Positive-H1.d.DeMP	6069.29778733866	5893.655500921942	263.46342962507686		1646.1109403810694	1168.4496004917025	587.9732636754763	7835.359557467732	6069.29778733866	25306.412108174554	5530.590043023971	2403.300553165335	2899.1687154271667	218.48186846957591	1376.221573448064	4111.528887523049	234.54671173939767	3464.6511985248926	25.703749231714813		2611.0725261216962	317.01290719114934	24854.4545175169	24.632759680393363	758.260602335587	88.8921327596804	319.15488629379223	3464.6511985248926	13739.724953902889	1510.0952673632453	29.987707437000616	10.709895513214505		1742.5	50.33650891210817	234.54671173939767		1166.3076213890597	212.0559311616472	51.407498463429626	1966.3368162261831	789.319299323909	274.1733251382913		234.54671173939767	1234.8509526736325	6048.9489858635525	126.37676705593117	146.72556853103873	66.40135218192994	88.8921327596804	234.54671173939767	31.058696988322065	451.95759065765213	Baseline condition with no supplementation or treatment.
Inj00064-Positive-C9.d.DeMP	3201.5	2121.764989293362	482.16738044254106		1181.4243397573161	159.96074232690935	393.0463954318344	6332.160242683797	3201.5	7871.211099214847	2493.102426837973		3371.743932905068	157.67558886509636					73.1249107780157		103.97448251249108		11952.495182012848		382.763204853676		85.69325481798715		20333.295503211993	58.271413276231264	23.994111349036405	355.3413633119201	83.40810135617417	1821.2673090649537	467.3138829407566		19.423804425410424	676.4054246966452		178.2419700214133	1395.086188436831		883.211812990721	234.22822983583157		698.1143825838687	404.47216274089936			22.851534618129907				284.50160599571734	Low arginine supplementation with caffeine treatment.
Inj00073-Positive-G8.d.DeMP	3240.6900296513663	4893.93952471868	452.63724039707046	109.14656860638578	699.8221163585912	635.6182524724819	958.2426685001811	5370.653214073041	3240.6900296513663	20944.102947947427	2841.020976960336	2860.2821361261686	1615.5297250342248	975.8987310688611	955.835023604452	10310.337991810575	540.9175532404707	284.90464599460995	62.59876728895655		2832.192945675996	279.2868079045754	15225.14377229224		890.02606312119	155.69436992381503	155.69436992381503	284.90464599460995	3869.085347436661	2133.173377615981	619.5672865009547	23.273900658714616	69.82170197614386	1295.3129539022548	556.1659709134217	540.9175532404707	69.01915367756749	507.21052470026336		101.12108562062213	2416.4729270134385	222.3058787056534	589.8729994536291	182.1784637768351	540.9175532404707	518.4462008803325	8819.203253055686	101.12108562062213	522.4589423732143	18.45861086725642	164.52240120815506	540.9175532404707	19.261159165832787		Negative control with alanine supplementation with caffeine.
Inj00074-Positive-G2.d.DeMP	9470.367563293472	11410.698036139549	479.41387309051646	48.5892438943091	3752.3853418111776	3518.5091145332362	2155.4188591515517	4913.344342592536	9470.367563293472	42246.080068053365	7375.847223156122	2879.7225214693863	987.9812925176184	185.28698338363205	1765.409194826564	6674.866397907555	1354.6681197733378	2308.313013272311	16.19641463143637	366.6868272557194	701.6286818338234	86.16492583924148	21523.09147542316	416.5717843205434	806.581448645531	24.61855023978328	174.92127801951276	2308.313013272311	29496.91032677191	1426.5802007369152	53.77209657636874	18.787840972466185	50.532813650081465	1633.8943080193008	377.05253261983864	1354.6681197733378	12.957131705149093	1117.5526095691093		800.750739378214	646.5608720869398	55.715666332141105	165.20342924065093	420.4589238320881	1354.6681197733378	36.27996877441746	3111.6551789915547		1179.0989851685677		31.097116092357826	1354.6681197733378		677.0101315940401	Baseline condition with no supplementation or treatment.
Inj00076-Positive-A8.d.DeMP	9228.008773533174	6166.277097422775	329.8853957229026	76.29628952659478	3689.117711570097	4613.455492597332	3089.7252787424604	3141.870224821788	9232.94882105648	21998.03162127582	7323.8949003838425	2272.970754889417	4073.8925242186074	73.55181868031438	1174.0846280387498	3628.1904587826725	1690.0451471394626	1675.2250045695487		346.901114969841	262.3714129044051		18049.835861816853	794.7987570828003	1123.5863644671906	23.602449278011335	86.17638457320417	1675.2250045695487	34522.14988119174	1126.330835313471	240.41564613416196	26.895814293547797	29.640285139828187	1221.8384207640286	194.8574300859075	1690.0451471394626	64.76951197221715	726.1869859257905	14.820142569914093	741.0071284957047	1283.3145677207092		271.1537196125023	21.955766770243102	1690.0451471394626	654.8307439225005	2535.3421677938222	17.56461341619448	1267.9455309815392		23.602449278011335	1690.0451471394626	52.69384024858344	548.3452750868214	Baseline condition with no supplementation or treatment.
Inj00077-Positive-C7.d.DeMP	5013.424778761062	8852.563421828909	172.91445427728613	111.0811209439528	1269.4985250737464	1137.0766961651916	2238.585545722714	6248.449852507374	5013.424778761062	27631.29203539823	4231.479351032448	2628.1902654867254	7032.036873156342	206.84070796460176	722.8480825958702	3148.02802359882	1944.7404129793508	1513.5486725663716		496.85545722713863	978.3893805309734		20181.743362831858	675.2418879056047	1000.8244837758111	69.49410029498524	165.2536873156342	1513.5486725663716	133220.73746312683	1726.9557522123894	84.26843657817109	64.0221238938053	11.491150442477876	1773.4675516224188	185.5	1944.7404129793508	13.679941002949851	413.13421828908554	225.44542772861357	3010.6814159292035	1221.3451327433627		302.60029498525074	140.62979351032448	1923.399705014749	138.4410029498525	1530.5117994100294	15.868731563421829	1456.6401179941001	51.98377581120943	54.719764011799406	1944.7404129793508	6.019174041297934	151.57374631268436	High arginine supplementation without caffeine treatment.
Inj00078-Positive-F2.d.DeMP	8729.414582846459	10020.782893199346	285.90909090909093	23.519513905118018	3145.0	1387.6513204019632	3126.625379761627	10743.27296097219	8729.414582846459	33657.15938303342	6469.336293526525	3544.0967515774714	8416.311053984577	514.4893666744566	1364.131806496845	4143.844356157981	1600.7969151670952	2239.4987146529566	33.07431642907221	158.0217340500117	858.4622575368077		23605.507127833607	797.4585183454078	307.95863519513904	76.43842019163357	335.8880579574667	2239.4987146529566	160905.81444262678	1977.1091376489835	109.51273662070578	99.22294928721664		1700.7548492638468	523.3091843888759	1600.7969151670952	77.90838981070344	499.054685674223		4677.443327880346	1908.7555503622343		212.4106099555971	255.77471371815847	1600.7969151670952	624.7370881046974	1840.401963075485		944.4554802523954	182.27623276466466	73.49848095349381	1600.7969151670952	14.699696190698761	14.699696190698761	High arginine supplementation without caffeine treatment.
Inj00087-Positive-E9.d.DeMP	1738.0156591506434	4884.145856965002	103.26173283533915	95.21536404297505	831.4581085442893	932.0377184488403	262.8480472172269	3356.676847881219	1738.0156591506434	16807.52334578319	1453.7106284871122	164.95056024346383	4617.274625351593					1143.9254299810948	18.77486051551621		227.98044911698253	150.19888412412968	27837.75389864896		268.212293078803	482.78212754184534	836.8223544058653	1143.9254299810948	181058.04950431135	1177.4519666159451	426.45754599529675	59.006704477336655	323.1958131599576	2220.797786692489	48.27821275418454		45.596089823396504	789.8852031170748		5598.931618020012	1422.8662147830498	459.9840826301471	572.6332457232444	238.70894084013466		822.0706782865311	15167.405173606308			99.2385484391571	376.83827177571817		57.66564301194264	256.14273989025685	High arginine supplementation with caffeine treatment.
Inj00088-Positive-E8.d.DeMP	5827.340506329114	6431.741772151899	322.41645569620255	30.064556962025318	1095.801265822785	631.3556962025316	1638.0	7788.793670886076	5827.340506329114	25342.348101265823	4770.93417721519	1416.1443037974684	1649.4037974683545	1021.1582278481012	1495.9708860759492	9485.886075949367				14.51392405063291	1231.6101265822786	721.5493670886076	14162.479746835443	190.75443037974682	255.03037974683545		109.89113924050633		23230.572151898734	2308.7506329113926	749.5405063291139	98.4873417721519	12.440506329113925	2860.279746835443	403.279746835443		64.2759493670886	629.2822784810127	85.01012658227847	30.064556962025318	1583.054430379747	669.713924050633	540.1253164556962	552.5658227848102		381.50886075949364	19274.491139240505			21.770886075949367			83.97341772151898	122.33164556962025	Caffeine treatment without arginine supplementation.
Inj00089-Positive-B4.d.DeMP	8398.29750445366	8639.416508231161	286.07339431229013	63.753499303881796	2192.1395529873203	1619.175411807562	3671.547677859449	3593.0818325623636	8398.29750445366	33803.24962449538	7144.478684810651	2040.1119777242175	5086.384950872518	747.0602354326662	1450.8007854408997	7284.245971746084	1444.261964999476	2292.673917274211	22.88587154498321	90.72613362475487	1436.9057920028743	219.05048478769643	25464.61885656971	880.2887019266756	1706.632135211605	20.433813879449293	156.93169059417056	2292.673917274211	18276.820486334625	2384.2174034541436	62.11879419352585	137.31522926989925	37.5982175381867	1545.6136818415446	62.11879419352585	1444.261964999476	87.45672340404298	435.64891190985895	77.64849274190732	201.88608112895903	1785.0979805086904	228.04136289465413	108.70788983867024	360.45247683348555	1444.261964999476	221.50254245323035	2352.3406538022027	155.29698548381464	1104.2433020454398	37.5982175381867	31.059397096762925	1444.261964999476	30.242044541584953	276.2651636501545	Negative control with alanine supplementation without caffeine.
