Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Spermidine [[M+H]]	8.0	0.148989898989899	1067.0	1331.2856362465247	0.3630450070323488
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	13.0	0.5303030303030304	1312.6666666666667	2158.7027614459794	0.727699530516432
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	14.0	0.638888888888889	192.22101060341856	256.1944809461235	0.8226495726495727
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	10.0	0.26767676767676774	1365.8072916666667	2313.224305511989	0.4930887825624669
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Xanthurenic acid [[M+H]]	11.0	0.3434343434343435	174.67703278081808	466.4313725490196	0.5651936715766503
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	17.0	1.0	617.6095192760727	375.90089107110384	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	0.0	0.03571428571428571	2594.567708333333	6741.444444444444	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	7.0	1.0	5989.973958333333	4936.962962962964	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyinosine [[M+H]]	14.0	0.07142857142857142	1522.4322916666667	617.6809210526316	0.22797766749379653
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	3-Methylhistidine [[M+Na]]	4.0	0.39285714285714285	133.31770833333334	303.7750611246944	0.625
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	0.0	0.03571428571428571	3.412207288818081	95.8470394736842	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	ATP [[M+H]]	5.0	0.5714285714285714	379.9794238683128	419.6111111111112	0.7656695156695157
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	9.0	0.7857142857142857	512.9684957523182	316.68020288775364	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Ademetionine [[M+H]]	1.0	0.07142857142857142	438.5864197530864	3452.623355263158	0.22797766749379653
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenine [[M+H]]	6.0	0.7857142857142857	6535.514360516231	5878.618421052632	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine phosphate [[M+H]]	8.0	1.0	41232.46354166666	41174.14814814815	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine-3'-5'-Diphosphate [[M+H]]	0.0	0.03571428571428571	2347.5	6032.87037037037	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Alpha-D-Glucose [[M+Na]]	9.0	0.7857142857142857	1076.0	455.2273838630807	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Aminoadipate [[M+Na]]	8.0	1.0	2351.239583333333	2928.659539473684	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Asparagine [[M+NH4]]	3.0	0.25	2638.023955831916	3266.203703703704	0.46951219512195125
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Biotin [[M+H]]	4.0	0.39285714285714285	719.0	1449.425925925926	0.625
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Choline [[M+H]]	9.0	0.7857142857142857	1210.1378600823043	1391.794621026895	0.9186746987951807
