	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000
C08	0.14103333333333334	0.1234666666666667	0.148	0.16513333333333333	0.2087	0.3095	0.5531333333333334	1.0560333333333334	1.2564666666666666	0.8179333333333334	0.4319666666666667	0.3847333333333333	0.3901	0.39879999999999993	0.45753333333333335	0.4991333333333333	0.5408666666666667	0.6161333333333333	0.6662	0.705	0.7896666666666666
C09	0.15333333333333332	0.16416666666666666	0.1842	0.20793333333333333	0.23870000000000002	0.31520000000000004	0.5027333333333334	0.8369333333333333	1.2754666666666665	1.1338333333333335	0.8069666666666667	0.4098333333333333	0.405	0.4150999999999999	0.4764333333333334	0.5196333333333333	0.5988666666666667	0.6305333333333333	0.7126	0.7231	0.8114666666666667
C10	0.17536666666666664	0.20249999999999999	0.2061666666666667	0.22676666666666664	0.21833333333333332	0.23593333333333336	0.2818666666666666	0.38416666666666666	0.9135333333333333	1.2667	1.2291999999999998	0.5631666666666666	0.4222666666666667	0.4179333333333333	0.4686	0.5345	0.5754666666666667	0.6450666666666667	0.6864666666666667	0.7271666666666666	0.8050666666666667
C11	0.14696666666666666	0.14969999999999997	0.18786666666666665	0.18966666666666668	0.20783333333333331	0.2595333333333334	0.38696666666666657	0.8087666666666666	1.2082333333333333	1.0342	0.5817	0.37796666666666656	0.3976666666666667	0.4030333333333333	0.4497	0.49939999999999996	0.5666666666666667	0.6143666666666667	0.6541666666666667	0.7172666666666666	0.7892666666666667
C12	-0.03363333333333335	-0.023200000000000012	-0.01363333333333333	0.002066666666666661	-0.010866666666666663	0.0029333333333333433	0.003166666666666651	-0.008233333333333315	0.0006333333333333468	-0.0058	-0.005100000000000021	-0.0006333333333333468	0.0018666666666666831	0.005033333333333334	0.003699999999999981	-0.005299999999999999	0.0005666666666666875	-0.002533333333333332	-0.004733333333333339	0.007566666666666666	0.005566666666666692
D01	-0.017733333333333337	-0.01363333333333333	-0.002166666666666678	0.00523333333333334	0.005866666666666659	0.0027666666666666673	-0.0028666666666666563	0.0006333333333333191	0.0019666666666666444	0.0014000000000000123	0.0021333333333333204	0.0010000000000000009	0.0016999999999999793	0.0032666666666666677	0.0023666666666666836	0.004666666666666708	0.004499999999999976	0.002066666666666661	0.0032666666666666677	0.0029000000000000137	0.0037333333333333107
D02	0.14326666666666665	0.15916666666666665	0.15913333333333335	0.19873333333333335	0.25026666666666664	0.3073666666666667	0.4460333333333333	0.6939333333333333	1.0519666666666667	0.9399	0.45613333333333334	0.4284	0.46199999999999997	0.5071666666666667	0.5357666666666667	0.5544666666666668	0.6323	0.6948666666666666	0.7212666666666667	0.8214	0.8692333333333333
D03	0.14126666666666665	0.16116666666666665	0.16133333333333333	0.19203333333333336	0.22996666666666668	0.30296666666666666	0.5439333333333333	1.0588333333333333	1.1360666666666668	0.8748	0.40073333333333333	0.4099999999999999	0.4285	0.4613666666666667	0.47496666666666676	0.5376666666666667	0.5985	0.6509666666666667	0.6973666666666667	0.7575	0.8226333333333333
D04	0.1338666666666667	0.14359999999999998	0.1727	0.1895	0.23016666666666666	0.32319999999999993	0.4749333333333333	0.9928333333333333	1.2524666666666666	1.0834333333333332	0.4245000000000001	0.3914000000000001	0.4150333333333333	0.4588333333333333	0.5075333333333334	0.5557666666666667	0.5982333333333334	0.6503333333333333	0.7267666666666667	0.7882333333333333	0.8493666666666666
D05	0.14016666666666666	0.19243333333333335	0.20023333333333335	0.22413333333333332	0.2635666666666666	0.3074	0.5070333333333333	1.0514333333333332	1.2561	0.9567000000000001	0.4206333333333334	0.4159666666666667	0.43476666666666663	0.4818666666666668	0.5097	0.5473333333333333	0.6035999999999999	0.6717	0.7220333333333333	0.7747666666666666	0.8222333333333334
