Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	d-Desthiobiotin [[M+H]]	25.0	0.6282051282051282	1644.8856493148483	1608.3537926953247	0.9076465764657647	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	31.0	0.18065268065268064	1002.2756962661985	675.3387179927823	0.5535205535205536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	21.0	0.7545787545787546	9172.160570894099	8570.804230567026	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	29.0	0.5727605727605728	8584.267099383407	7495.436458677228	0.8785371335172133	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyuridine [[M+Na]]	29.0	0.5727605727605728	778.7431888614067	690.8314387277217	0.8785371335172133	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	26.0	0.8518148518148518	68.93783749688708	37.56506711133069	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	ATP [[M+H]]	20.0	0.662004662004662	1567.7167428628545	1776.5892650223473	0.9301890323788133	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	23.0	0.9497169497169498	1677.3453510565466	1839.891001952474	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Ademetionine [[M+H]]	25.0	0.9497169497169498	3022.467637470477	3138.027375584111	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenine [[M+H]]	27.0	0.7545787545787546	6803.797524521252	6270.402352927281	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine phosphate [[M+H]]	26.0	0.8518148518148518	29507.702310816	28084.048357064617	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine-3'-5'-Diphosphate [[M+H]]	21.0	0.7545787545787546	8392.342575011862	8136.335543442197	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Alpha-D-Glucose [[M+Na]]	40.0	0.042624042624042624	919.183839793882	85.19385474901723	0.3418803418803419	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Aminoadipate [[M+Na]]	48.0	0.000666000666000666	3606.2870865264376	1766.3704373798664	0.05128205128205128	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Argininosuccinic acid [[M+H]]	14.0	0.22843822843822847	6046.859498359267	6972.496170933735	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Asparagine [[M+NH4]]	24.0	1.0	355.8760235271749	371.6125767233239	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Biotin [[M+H]]	27.0	0.7545787545787546	699.048342530918	660.4020567752598	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Choline [[M+H]]	41.0	0.029304029304029304	1464.1473613448513	858.0930388066264	0.3205128205128205	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Cytidine [[M+H]]	14.0	0.22843822843822847	8517.468765720965	10365.515784432202	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]	23.0	0.9497169497169498	1187.1347384370845	1133.7756104371133	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	35.0	0.18115218115218118	293.045325819994	136.82900188436534	0.5535205535205536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Galactose [[M+Na]]/Galactose [[M+Na]]	35.0	0.18115218115218118	483.6842103606881	209.37979507326702	0.5535205535205536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Glucose [[M+Na]]	40.0	0.042624042624042624	928.0604375827073	76.33219597854693	0.3418803418803419	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Deoxyadenosine [[M+H]]	10.0	0.08125208125208126	43.29191825056633	125.57240681467857	0.4887820512820513	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glucosamine [[M+H]]	40.0	0.042624042624042624	2965.4377717743355	1844.98057218945	0.3418803418803419	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutamic Acid [[M-H2O+H]]	23.0	0.9497169497169498	3517.5055710529687	3157.194103974198	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutathione [[M+H]]	45.0	0.004662004662004662	37545.624131195844	26422.322927125795	0.12820512820512822	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Histidine [[M+H]]	21.0	0.7545787545787546	1963.401436304294	2300.5537465871685	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Imidazoleacetic acid [[M+H]]	18.0	0.4908424908424909	102.30581889426097	206.53737013150584	0.8216276477146043	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Inositol [[M+Na]]	41.0	0.029304029304029304	856.6122967927862	87.52216801426877	0.3205128205128205	False
