Molecule List Name	Molecule Name	Molecule Formula	Precursor Ion Formula	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Median Peak Area	Total Area	Total Area MS1	Total Background	Total Background MS1	Total Area Ratio	Ratio Dot Product	Total Area Normalized	Max Height	Count Truncated	Collisional Cross Section	Ion Mobility MS1	Ion Mobility Units	Total Area	Normalized Area	Area	Background	Area	Sample Id	Height	Max Height	Explicit Retention Time	Explicit Retention Time Window	Product Mz	Product Charge	Product Ion Formula	Product Neutral Formula	Product Adduct	Molecule List Abundance
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00022-Positive-H8_demultiplexed	175.086589	1	2520691.75	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00023-Positive-G8_demultiplexed	175.086589	1	2800232.25	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00024-Positive-G12_demultiplexed	175.086589	1	2315834.75	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00025-Positive-C12_demultiplexed	175.086589	1	2724200.25	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00026-Positive-MAT2_demultiplexed	175.086589	1	2650478	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00027-Positive-MAT1_demultiplexed	175.086589	1	1892259.125	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00028-Positive-MAT1_demultiplexed	175.086589	1	1432447.625	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00029-Positive-MAT1_demultiplexed	175.086589	1	1347571.875	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00030-Positive-MAT2_demultiplexed	175.086589	1	1306369.125	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00031-Positive-C10_demultiplexed	175.086589	1	1778063.375	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00032-Positive-H1_demultiplexed	175.086589	1	2539514	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00033-Positive-A9_demultiplexed	175.086589	1	2650107.25	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00034-Positive-B11_demultiplexed	175.086589	1	2538758.75	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
