Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	9.0	0.028904428904428903	121.23007592333158	749.2412935323383	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Ademetionine [[M+H]]	37.0	0.33566433566433573	318.8581797698365	251.48606785601976	0.6028708133971293	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenine [[M+H]]	25.0	0.772139521993872	4945.725323220042	4743.482587064676	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenosine phosphate [[M+H]]	27.0	0.9550893550893552	17893.468174465444	19749.589552238805	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenosine-3'-5'-Diphosphate [[M+H]]	25.0	0.778865578865579	411.433614263922	377.9799810148413	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Aminoadipate [[M+Na]]	47.0	0.028904428904428903	347.4495857711122	116.24877758297131	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Argininosuccinic acid [[M+H]]	31.0	0.778865578865579	523.0760891470179	540.7884457090738	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Cytidine [[M+H]]	39.0	0.23185703185703188	1133.753200700281	799.2893744874815	0.5001420454545453	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	27.0	0.9550893550893552	2088.0908435248266	2123.0	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	29.0	0.9550893550893552	2139.033371771732	2123.0	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Deoxyadenosine [[M+H]]	12.0	0.0721056721056721	47.794666267920945	120.1646139471103	0.23158645276292336	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Glucosamine [[M+H]]	37.0	0.33566433566433573	5230.887676267124	4214.390547263682	0.6028708133971293	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Glutamic Acid [[M-H2O+H]]	55.0	0.0006216006216006216	9906.995354704675	1402.2135393257895	0.013053613053613054	True
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Glutathione [[M+H]]	42.0	0.1205905205905206	29101.649317914515	24107.74756960512	0.35022566086395873	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Histidine [[M+H]]	45.0	0.054079254079254076	497.72955086905097	270.8008307084535	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Imidazoleacetic acid [[M+H]]	30.0	0.8665112665112666	164.44977213183967	152.11389479865565	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	L-Arginine [[M+H]]	56.0	0.0003108003108003108	6540.0137235292605	1017.6179441762883	0.008484848484848484	True
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	L-Citrulline [[M+H]]	46.0	0.04009324009324009	329.7333075005639	56.92509954832356	0.16839160839160838	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	L-Glutamine [[M+H]]	54.0	0.0012432012432012432	86.83375079975534	5.074091778202677	0.017862838915470493	True
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	L-Phenylalanine [[M-H2O+H]]	29.0	0.9550893550893552	61.14694159323422	51.41772854631424	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	L-Valine [[M+H]]	18.0	0.280963480963481	1541.8852513132215	2231.003790380283	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Maltose [[M+Na]]	29.0	0.9550893550893552	2032.4496425638013	2072.259082217973	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	26.0	0.8665112665112666	197.54678957608226	242.3382809342917	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	N2-Acetyl-L-ornithine [[M+H]]	53.0	0.0021756021756021756	136.89068239034978	26.82664098068569	0.026997245179063357	True
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Niacin [[M+H]]	23.0	0.6125874125874127	118.63951813890786	247.3009950248756	0.866509656146962	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Nicotinamide [[M+H]]	30.0	0.8665112665112666	1282.8318365721912	1315.0248756218905	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	O-acetyl-L-serine [[M+H]]	16.0	0.1892773892773893	306.1263098830555	497.97948122225887	0.44932806324110675	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Pidolic Acid [[M+H]]	56.0	0.0003108003108003108	10002.138404896963	1890.324502507266	0.008484848484848484	True
